,0.01,0.05,0.1
2001-01-02,-0.03395231147519186,-0.024071550059547458,-0.018804152710406873
2001-01-03,-0.03832083568723969,-0.02714585999159684,-0.021188521798738476
2001-01-04,-0.052484995284633226,-0.0371106997157442,-0.028914719637098768
2001-01-05,-0.05024504040710687,-0.03553219016133235,-0.027688824136909332
2001-01-08,-0.05186025530457695,-0.03671614083300832,-0.028642869445610914
2001-01-09,-0.04923627451318847,-0.03487559219441207,-0.027219965588753395
2001-01-10,-0.04701371064064157,-0.033289979110358664,-0.025973908613152474
2001-01-11,-0.04512803390735119,-0.03194713058124683,-0.024920439791074302
2001-01-12,-0.04351349591456033,-0.03081210612609545,-0.024041042228506337
2001-01-16,-0.041556174993985895,-0.029437193582435104,-0.022976609435507445
2001-01-17,-0.03961270427277713,-0.028051735609301773,-0.021888625993572226
2001-01-18,-0.037541523911503775,-0.026580993463376498,-0.020737975238462186
2001-01-19,-0.037117845668814604,-0.026262989436156237,-0.020476305744484693
2001-01-22,-0.035110671137918756,-0.02483902667592516,-0.019363251021150777
2001-01-23,-0.033198402828261836,-0.02346757557233489,-0.018280107568941974
2001-01-24,-0.032649288146947314,-0.023070288005171916,-0.01796375847453104
2001-01-25,-0.030499833352321794,-0.021539116265942293,-0.016762191144315326
2001-01-26,-0.028211055659172684,-0.019915625580126276,-0.015493362500363362
2001-01-29,-0.02370468399461405,-0.016693117773546887,-0.012955277765822726
2001-01-30,-0.023880993506913542,-0.01682497635707663,-0.013063439723705998
2001-01-31,-0.023730258996283223,-0.016718960636795215,-0.012981263425087737
2001-02-01,-0.023389357738043893,-0.01648456822849922,-0.012803650490584448
2001-02-02,-0.02254710785725987,-0.01588679300805457,-0.012336203806943119
2001-02-05,-0.028001904224603705,-0.01977832838211299,-0.015394370529977445
2001-02-06,-0.02603227730284383,-0.01837722709841513,-0.014296348160228952
2001-02-07,-0.02437938644187918,-0.017213992473677664,-0.013394147463161227
2001-02-08,-0.02456568281435828,-0.017349389127208698,-0.013502409664864025
2001-02-09,-0.024076050372224767,-0.01700819996825959,-0.013240355070899474
2001-02-12,-0.026497606190823943,-0.018723749268209765,-0.014579534908176496
2001-02-13,-0.026935184020777814,-0.01901985191067614,-0.014800217651690458
2001-02-14,-0.0267194067611492,-0.018880187771782846,-0.014701129135821648
2001-02-15,-0.0248289756516374,-0.01753850022041268,-0.01365197474479444
2001-02-16,-0.024592945923954324,-0.01735457074426185,-0.01349581971995017
2001-02-20,-0.0309140677986125,-0.02182755997271955,-0.016983576273318358
2001-02-21,-0.033699095778080834,-0.02381393056249008,-0.01854418556389336
