,0.01,0.05,0.1
2002-01-09,-0.02269860375191202,-0.016134582120884932,-0.012635326478072851
2002-01-10,-0.022225583341507944,-0.01578284636199517,-0.012348247118118738
2002-01-11,-0.02143722306761746,-0.015225971699458635,-0.01191477657843446
2002-01-14,-0.022161618395035342,-0.015749288466248457,-0.012330899108599538
2002-01-15,-0.022162545141375358,-0.015770274435781523,-0.012362578575792166
2002-01-16,-0.022217109639141214,-0.015808019612166036,-0.012391357434184408
2002-01-17,-0.025435029870745286,-0.01809140889666387,-0.01417655172880188
2002-01-18,-0.024474481900120606,-0.017408127447449694,-0.013641080036189124
2002-01-22,-0.023671601459167524,-0.016850196346230886,-0.013213730521602615
2002-01-23,-0.0234092151901058,-0.016674324980764692,-0.01308397993111422
2002-01-24,-0.02342864776368982,-0.01667747786819333,-0.013078454178092745
2002-01-25,-0.02262324516662022,-0.016103052182602003,-0.012627161429332278
2002-01-28,-0.02171639272256879,-0.015457084390521778,-0.012120270279872817
2002-01-29,-0.020879250858572954,-0.014861686386234299,-0.011653745032676981
2002-01-30,-0.031392755061379965,-0.022314186237133823,-0.017474434790134045
2002-01-31,-0.03097168612140682,-0.022013021564350733,-0.017237190638511157
2002-02-01,-0.03150850169898275,-0.022383224738332205,-0.017518573356648217
2002-02-04,-0.02991781517932413,-0.021258886129782658,-0.01664284309389516
2002-02-05,-0.03566678840756451,-0.0253237934276888,-0.01980998107584804
2002-02-06,-0.033406292928152975,-0.02373868346444667,-0.018584916632163332
2002-02-07,-0.03154983149176316,-0.022435559577397197,-0.017576774945165817
2002-02-08,-0.029760606248329845,-0.02117319204051483,-0.016595273302127095
2002-02-11,-0.030817062970234534,-0.02191517673341357,-0.017169614119995912
2002-02-12,-0.031356265877465955,-0.0222874413293034,-0.01745288451982728
2002-02-13,-0.029661976144908876,-0.02108887895991208,-0.016518592573411803
2002-02-14,-0.029183795557137675,-0.020747870486033042,-0.01625071004587407
2002-02-15,-0.027625699122307095,-0.019640250455764334,-0.015383237319990486
2002-02-19,-0.027570457570915148,-0.019605694863792808,-0.015359709336442236
2002-02-20,-0.030488342489619735,-0.02167223285246364,-0.01697239742693027
2002-02-21,-0.030950943196338104,-0.02199323669923073,-0.017217916511604727
2002-02-22,-0.03163598673930548,-0.02248680811615326,-0.017609414846632365
2002-02-25,-0.030374857377423015,-0.02158800928982681,-0.01690377308808802
2002-02-26,-0.03254651608767335,-0.023111776978721556,-0.018082152470873376
2002-02-27,-0.030507676630137624,-0.021656175600182518,-0.0169374731541059
