,0.01,0.05,0.1
2001-01-02,-0.03685121010241012,-0.02346068704971388,-0.017625746703801983
2001-01-03,-0.04116698323741672,-0.02619672477408836,-0.01966461893283205
2001-01-04,-0.05525276715006798,-0.034850868028195016,-0.026049481311717956
2001-01-05,-0.052812790730723105,-0.03340593324991572,-0.025000990007028514
2001-01-08,-0.05511182458446797,-0.034882848309865905,-0.026126656860383207
2001-01-09,-0.05252940858112936,-0.033144046866058124,-0.024811324752242653
2001-01-10,-0.05047084525762504,-0.03172143224066391,-0.023705918007781945
2001-01-11,-0.04843151447468403,-0.030507286938695408,-0.022813281635106996
2001-01-12,-0.04705897670015418,-0.029568279079838104,-0.022097983729280735
2001-01-16,-0.04522786636772375,-0.028377598973714776,-0.0212096614430385
2001-01-17,-0.043246540944190386,-0.027177551271940263,-0.020320332500382114
2001-01-18,-0.041193900916928386,-0.025950684398399346,-0.01942104432435659
2001-01-19,-0.04068359357990574,-0.025717739611804607,-0.019259092374052426
2001-01-22,-0.03877730949894983,-0.024559012148021357,-0.018405601201098673
2001-01-23,-0.03705970415092317,-0.023301255857514795,-0.017406549409073265
2001-01-24,-0.036550891316822515,-0.02305921534985987,-0.017243698057620112
2001-01-25,-0.034535449192958804,-0.021815839035300502,-0.01631712731696238
2001-01-26,-0.032421309567456334,-0.0205159711931818,-0.015354676338022014
2001-01-29,-0.029795901983107914,-0.018748480621006165,-0.013989493645405734
2001-01-30,-0.02801531004190639,-0.01755857747638166,-0.0130798948383507
2001-01-31,-0.02725999866995567,-0.017066962803319395,-0.012708219440820458
2001-02-01,-0.026465467226823598,-0.016634479058446096,-0.012409819726148656
2001-02-02,-0.02545161957949089,-0.01598116978297894,-0.011917201275960642
2001-02-05,-0.029315105387827077,-0.018517790933525406,-0.013859139182500887
2001-02-06,-0.027914212999142853,-0.017659968691554485,-0.013219825298206759
2001-02-07,-0.026674167169735592,-0.01685083142803182,-0.012614190970897027
2001-02-08,-0.026734275550426546,-0.01683962751726808,-0.01259482205986083
2001-02-09,-0.025959848420305708,-0.016417095465862785,-0.012303663641194576
2001-02-12,-0.027681347909971527,-0.01746774823270973,-0.013079334100580249
2001-02-13,-0.028145191409848547,-0.017810439793509738,-0.013339764187318909
2001-02-14,-0.02796305418643993,-0.017740527303508658,-0.013312782197682995
2001-02-15,-0.02659507916124159,-0.016846631449686233,-0.012635855051389136
2001-02-16,-0.026169164303853444,-0.01662407134582501,-0.012471732968033935
2001-02-20,-0.0315961178554588,-0.020072619883641327,-0.015046581040649466
2001-02-21,-0.03427852971419316,-0.021881044078322143,-0.01643731310667614
2001-02-22,-0.03695567357213736,-0.023678213285410855,-0.01781710143815209
2001-02-23,-0.03351234840278416,-0.02143598980744888,-0.016131351168723045
2001-02-26,-0.03152693922938512,-0.020112435854300507,-0.01512905249927391
2001-02-27,-0.03382724676846941,-0.02162033349705352,-0.01625880221808783
2001-02-28,-0.03223801334859588,-0.020578546871831728,-0.01548499155665604
2001-03-01,-0.03275126027379566,-0.020985360663579224,-0.015822655209470685
2001-03-02,-0.030761884557181787,-0.019724573522124818,-0.01488333157051958
2001-03-05,-0.029737067077254768,-0.01901880453199616,-0.014342965217700133
2001-03-06,-0.028561644512398596,-0.018264781954025987,-0.013777832670965212
2001-03-07,-0.028799886799606263,-0.018347777563748325,-0.013804923477997505
2001-03-09,-0.027920361698966816,-0.01780335034857707,-0.013397724850953627
2001-03-12,-0.03403599213516097,-0.021619906651368932,-0.016259407624254995
2001-03-13,-0.05617674886912836,-0.03534972313791664,-0.02643810269116152
2001-03-14,-0.05244645433726279,-0.03314213726061985,-0.02482279447765361
2001-03-15,-0.05418787427746668,-0.034445776067415945,-0.025851262807074248
2001-03-16,-0.04708842234968531,-0.029890519359466898,-0.0224364402079477
2001-03-19,-0.04768962412267599,-0.030382588336235482,-0.022843101312799794
2001-03-20,-0.046462534866207265,-0.029765052007695993,-0.022418242864802977
2001-03-22,-0.049567162913126656,-0.03171157033909195,-0.0238828692416828
2001-03-23,-0.049992429537439834,-0.03210559530805602,-0.024218893889410915
2001-03-26,-0.05039617208436115,-0.03231374757735248,-0.024364873166662505
2001-03-27,-0.04669220131671487,-0.02998345438616426,-0.022624938957024627
2001-03-28,-0.05045326957386767,-0.0324956210464869,-0.02452790879997758
2001-03-29,-0.05220694610936965,-0.033779189315072435,-0.02554081521100464
2001-03-30,-0.04727140839208564,-0.030598770387592695,-0.023148352397109297
2001-04-02,-0.04441674743286022,-0.028766181962486988,-0.02176472359463171
2001-04-03,-0.04095134371081677,-0.026583068456902434,-0.020140756716069415
2001-04-04,-0.060769690264286774,-0.0392438987572485,-0.02964705956893084
2001-04-05,-0.05527242421318358,-0.035860098835773783,-0.027146973194219912
2001-04-06,-0.06511773798793279,-0.042616815533036166,-0.032329954356989564
2001-04-09,-0.06202171701136495,-0.04082854640409831,-0.03104752742426722
2001-04-10,-0.0573195676706184,-0.03784140517083877,-0.028813708768841494
2001-04-11,-0.05824359641306814,-0.03876617069035044,-0.02959475076094498
2001-04-12,-0.053009222561001074,-0.03540060480314827,-0.027064384433333782
2001-04-16,-0.049895531071002454,-0.033465438485685506,-0.02562439593207772
2001-04-17,-0.04632875853836008,-0.030801610458984312,-0.023514415688594185
2001-04-18,-0.04476879572886238,-0.030088864971972547,-0.023042675078587628
2001-04-19,-0.04496279201538079,-0.030142074243064015,-0.023064212467984777
2001-04-20,-0.052576121712332564,-0.03507591876778852,-0.026788898655892363
2001-04-23,-0.049332818868199096,-0.03294916760046181,-0.025176203118885448
2001-04-24,-0.04753710079370148,-0.031884255701701975,-0.02440588985306365
2001-04-25,-0.0448919187907654,-0.030197091976621477,-0.02314295456421262
2001-04-26,-0.04414212826140386,-0.029885760341034392,-0.022968921789029723
2001-04-27,-0.0410156136266759,-0.0277081469763599,-0.021275859012414633
2001-04-30,-0.04010124339409645,-0.027125080817916106,-0.020834319194913454
2001-05-01,-0.036981078427851935,-0.024972548300040285,-0.019169610678854237
2001-05-02,-0.036492694222288395,-0.02464579824832256,-0.018918641654413072
