,0.01,0.05,0.1
2002-01-09,-0.025045886550139146,-0.016162505647266623,-0.01220689860769264
2002-01-10,-0.024606800375556424,-0.015842812687472577,-0.011950930277076176
2002-01-11,-0.02378497910548352,-0.015333057160126595,-0.011572859863003127
2002-01-14,-0.024427755912750263,-0.015799855820883592,-0.0119447021053889
2002-01-15,-0.024383392636815653,-0.015770407397396248,-0.011931618580216378
2002-01-16,-0.02447864963715443,-0.01582463865385,-0.011969806898646986
2002-01-17,-0.027585246245879606,-0.01782812453015789,-0.01348006260936541
2002-01-18,-0.02668571125178764,-0.017258760307161416,-0.013051815084545103
2002-01-22,-0.025969275464311926,-0.016792133186346325,-0.012705952556558408
2002-01-23,-0.025735945427403366,-0.01666501630717401,-0.012623657733375017
2002-01-24,-0.025710060898113916,-0.01666799102130803,-0.01262488048807181
2002-01-25,-0.024871915970415562,-0.01614955001091747,-0.012238650002136262
2002-01-28,-0.02395781968696445,-0.01556112774238885,-0.011793682757997595
2002-01-29,-0.023078214958540056,-0.01500459907728773,-0.011376645403044706
2002-01-30,-0.03315575633445351,-0.021327778805948765,-0.016087761281103896
2002-01-31,-0.03279847810708257,-0.02112908568503506,-0.015945110907578358
2002-02-01,-0.033345566529258845,-0.02152104839134788,-0.016245488295452363
2002-02-04,-0.03181193711919359,-0.020550429645882475,-0.015521403199501122
2002-02-05,-0.03763639722780974,-0.024266555465912484,-0.01830533595974838
2002-02-06,-0.03558482352137148,-0.022900131385818798,-0.017270871298034722
2002-02-07,-0.033843318558922315,-0.021773630228220726,-0.016428243943913175
2002-02-08,-0.03208653033388722,-0.02066532686617177,-0.01560354266719226
2002-02-11,-0.033073634081530724,-0.021312861059214504,-0.016091392441124362
2002-02-12,-0.03352940462180423,-0.02164633291078098,-0.016348733304794187
2002-02-13,-0.031881741196501306,-0.020599231577425006,-0.015566041695523555
2002-02-14,-0.03140521810765399,-0.02029128723347906,-0.01533284816673488
2002-02-15,-0.029965077094534543,-0.01930741677979318,-0.014573858632987087
2002-02-19,-0.029836765381288825,-0.019271144961562122,-0.014563589172327184
2002-02-20,-0.03268302384719392,-0.02108614775355308,-0.01592442852324677
2002-02-21,-0.033092463301034616,-0.021377758813276138,-0.016148521363046748
2002-02-22,-0.033749737487015576,-0.021845145028375635,-0.016518382489661275
2002-02-25,-0.03253789468828694,-0.021053875840441435,-0.01591587438640467
2002-02-26,-0.03458060259641202,-0.02241129752085316,-0.016942716071550457
2002-02-27,-0.032724743350328316,-0.021154060811990245,-0.01597361587910092
2002-02-28,-0.030970229749652363,-0.02002008970030689,-0.015120720858120338
2002-03-01,-0.029540699051523966,-0.019094114849351182,-0.014425571739429826
2002-03-04,-0.033656835684980194,-0.021751620567153063,-0.01641989250694592
2002-03-05,-0.03570486565146386,-0.023073575130275227,-0.017408426732322145
2002-03-06,-0.03398526185757365,-0.021962902782186277,-0.016575858088212308
2002-03-07,-0.03419419175316074,-0.022104326453292054,-0.01668299282925505
2002-03-08,-0.03251193899857255,-0.021024100792620008,-0.015873743373584534
2002-03-11,-0.031171060684745656,-0.02016953941738404,-0.015231525853478404
2002-03-12,-0.02984762250458588,-0.019282793977418163,-0.014555539306594612
2002-03-13,-0.02849510067118559,-0.018395121926603232,-0.013881539240194928
2002-03-14,-0.028486971386831532,-0.01836331414830081,-0.013850858553374878
2002-03-15,-0.027259568710408837,-0.01757367114192662,-0.01325896921293297
2002-03-18,-0.027877383219299678,-0.017955789785592792,-0.013540064361924183
2002-03-19,-0.026625009633490935,-0.017173110170447033,-0.012956937092529468
2002-03-20,-0.02572030403077955,-0.016596343141708773,-0.012520902313682835
2002-03-21,-0.028054688351303016,-0.01814494978020283,-0.013703881446553417
2002-03-22,-0.026944838921350932,-0.01741223787658879,-0.01314920998533086
2002-03-25,-0.026108722980934772,-0.016895307592468784,-0.012771145263801301
2002-03-26,-0.02779455897228466,-0.018041759764611136,-0.013656514249722506
2002-03-27,-0.027141844758851317,-0.01758276206362285,-0.013303026566608186
2002-03-28,-0.026512196313871833,-0.01718290830708984,-0.013002683316362198
2002-04-01,-0.02563825866796648,-0.016586288427042895,-0.012547755488723179
2002-04-02,-0.024675730038245153,-0.01597460912127359,-0.01209028898678407
2002-04-03,-0.024752552751300585,-0.01606221087848213,-0.012169925882454932
2002-04-04,-0.025464793396387877,-0.01658173933386571,-0.012582464260259836
2002-04-05,-0.02450975988362025,-0.01597204112519173,-0.0121237280087191
2002-04-08,-0.02375717177661662,-0.015488155672486008,-0.011760144042015397
2002-04-09,-0.023025005701149397,-0.015037497023404709,-0.011427796353651643
2002-04-10,-0.022880314897927034,-0.015011407645177659,-0.011431540126085927
2002-04-11,-0.024137503136321604,-0.015879453960122237,-0.012093379417507428
2002-04-12,-0.02868793734088783,-0.018928347465094753,-0.014426722232659667
2002-04-15,-0.027490328465304293,-0.01818059442883124,-0.013871001595107776
2002-04-16,-0.026807658257415157,-0.01777680789679606,-0.013581377559160682
2002-04-17,-0.031586422959836095,-0.020959664672318305,-0.015995643857580073
2002-04-18,-0.029941790106963666,-0.019907885056272986,-0.015206708608396824
2002-04-19,-0.0285085627752411,-0.01898442158215802,-0.014512052218624767
2002-04-22,-0.027305447887226324,-0.018110184522570925,-0.013823979036788274
2002-04-23,-0.028345443557257138,-0.018913023452715748,-0.014465003012058232
2002-04-24,-0.027675175280743074,-0.018438584774369837,-0.014101491375562372
2002-04-25,-0.027160646151415575,-0.018052511361461156,-0.013802644692202538
2002-04-26,-0.026084087405581595,-0.017344538124978465,-0.013265485917963388
