,0.01,0.05,0.1
2001-01-02,-0.03750299557511337,-0.024715573320243364,-0.018883226249849963
2001-01-03,-0.04933282391704447,-0.03245376288348391,-0.024736436837146332
2001-01-04,-0.04793026771536452,-0.031559882749409775,-0.024060437227835515
2001-01-05,-0.04684394736477246,-0.030919958157604618,-0.023601213518246435
2001-01-08,-0.054617488878658346,-0.036017365435995874,-0.02747269753250329
2001-01-09,-0.05177855905665636,-0.034077958407439914,-0.025990684032135072
2001-01-10,-0.04881854477406254,-0.03204895073423291,-0.024422129889278752
2001-01-11,-0.04592405123475401,-0.030206659754339702,-0.02303939074092024
2001-01-12,-0.043379228516494395,-0.02851276285069557,-0.021753048075177226
2001-01-16,-0.04149532219181833,-0.027265062186567893,-0.02081235872716101
2001-01-17,-0.03882691936773822,-0.02556280842770498,-0.01952995980414997
2001-01-18,-0.03611357028081859,-0.02383974635969051,-0.01823815755756146
2001-01-19,-0.03397141688602068,-0.02249849601645229,-0.017229374297845282
2001-01-22,-0.03152408763842191,-0.02093455349483706,-0.016056009657025985
2001-01-23,-0.02944830084484175,-0.019489249297334508,-0.014930850146527166
2001-01-24,-0.02798727928314574,-0.018580909169592492,-0.014250731150143286
2001-01-25,-0.02562490327055702,-0.017051795510067518,-0.013092103011846774
2001-01-26,-0.02414206424369583,-0.016104291902012218,-0.012382762560755158
2001-01-29,-0.022929037710883636,-0.015262622000025872,-0.011720353896825818
2001-01-30,-0.02203811458469952,-0.01463193856258228,-0.01122820828025682
2001-01-31,-0.021069733322076418,-0.01398975597828606,-0.010736119441913713
2001-02-01,-0.02148160585802043,-0.014304660870087282,-0.010994427209637891
2001-02-02,-0.020462071387817655,-0.013621795519722089,-0.01046996824410961
2001-02-05,-0.030986969437266535,-0.020595910313868215,-0.01578819140540981
2001-02-06,-0.028863787653113968,-0.019197908096976506,-0.014724369768030092
2001-02-07,-0.02715358812320339,-0.018033310878624725,-0.013834257627776693
2001-02-08,-0.027905557792037884,-0.018493462942109833,-0.014175268200278267
2001-02-09,-0.027392911600932168,-0.01819005979042251,-0.013959517400884391
2001-02-12,-0.03147610591095975,-0.020843362998306993,-0.015962744211973228
2001-02-13,-0.02933796256949915,-0.01948342932029171,-0.01494007279583444
2001-02-14,-0.030028920386120077,-0.019966705691385186,-0.015323350455676048
2001-02-15,-0.02806229189489869,-0.018656098383596185,-0.014323675951015311
2001-02-16,-0.02628893503627741,-0.017524573917384628,-0.013468573429737412
2001-02-20,-0.03761554864533897,-0.025003828094609694,-0.019143470815132946
2001-02-21,-0.04307036790652741,-0.028679314390055104,-0.021962981297317302
2001-02-22,-0.04792326663308947,-0.03194190696946064,-0.024464721793703237
2001-02-23,-0.04313513725990721,-0.02876617049442104,-0.022051449709842744
2001-02-26,-0.03984113626631331,-0.026557425297348464,-0.020364065291018658
2001-02-27,-0.03668243051320694,-0.024513182882892,-0.018822028754154885
2001-02-28,-0.035127171718722164,-0.023468071415568025,-0.018031878536721318
2001-03-01,-0.03779701175052721,-0.025296077045236783,-0.01944668619293117
2001-03-02,-0.03469392994884496,-0.023265787226931386,-0.01791284480744712
2001-03-05,-0.03211419116467209,-0.021527801061326436,-0.016585462445624904
2001-03-06,-0.03050489372363703,-0.02046724971639339,-0.015782037944212512
2001-03-07,-0.028780281081172046,-0.019193650953639747,-0.014761266961680642
2001-03-09,-0.02669337183661636,-0.017878240984537302,-0.013779622592143582
2001-03-12,-0.04085803639234117,-0.027256603487865447,-0.020924069605256675
2001-03-13,-0.07766534451385224,-0.05159920623963896,-0.03942062062740763
2001-03-14,-0.06889604523148127,-0.04595702455167617,-0.0351789177265142
2001-03-15,-0.07238046618488324,-0.04838542571885819,-0.03706115893907842
2001-03-16,-0.06425962231924877,-0.04308671345484471,-0.0330619877888595
2001-03-19,-0.06315170063465124,-0.042424203878000735,-0.03258460965128843
2001-03-20,-0.05569391664314633,-0.037540495969245934,-0.028890266959385943
2001-03-22,-0.061692852005793546,-0.04146424663335199,-0.03186798325090159
2001-03-23,-0.0635967502634898,-0.04280400565595885,-0.03291491059359312
2001-03-26,-0.05693455252209299,-0.03830036374803123,-0.029468283905170638
2001-03-27,-0.05118106858170513,-0.03453254961817721,-0.026615843924614187
2001-03-28,-0.04755780236122645,-0.03228342739723112,-0.024944623552388686
2001-03-29,-0.05523375406752261,-0.03773334492273242,-0.029199510298888936
2001-03-30,-0.05065326062570349,-0.034738593398981464,-0.026933829498599137
2001-04-02,-0.046419396397717666,-0.03188996303603744,-0.024750747340241505
2001-04-03,-0.04246654320057202,-0.02937742076310438,-0.02287494398879677
2001-04-04,-0.07566873842464998,-0.05231622328256824,-0.04059861121083113
2001-04-05,-0.06928385077004644,-0.04817427200665456,-0.03747683229364446
2001-04-06,-0.06433536821496076,-0.04527764984667706,-0.035393399501579464
2001-04-09,-0.0634418554761004,-0.04491336981893827,-0.035189870780321215
2001-04-10,-0.058362679280248964,-0.041270644831727,-0.03233474397339493
2001-04-11,-0.053571638157275815,-0.03804184297579332,-0.029860799921642464
2001-04-12,-0.04870516724785858,-0.034681472994017526,-0.027263338917329117
2001-04-16,-0.044352058473813925,-0.031506772131745124,-0.0247555349234199
2001-04-17,-0.042019870564797515,-0.02979022074543669,-0.023396266530169522
2001-04-18,-0.04310846397436529,-0.030693114796223987,-0.024126738703734413
2001-04-19,-0.04007249019793037,-0.028584807963141494,-0.022497091590729927
2001-04-20,-0.03913403127015133,-0.027885417549966332,-0.02193862594588033
2001-04-23,-0.0375321565796973,-0.026793089165974622,-0.02110143394272501
2001-04-24,-0.0389347509267357,-0.027820508867677004,-0.021918639400935105
2001-04-25,-0.03832779545339145,-0.027410592046154307,-0.021609214195776924
2001-04-26,-0.03639488277625448,-0.025945801293654227,-0.02044273492347031
2001-04-27,-0.033911014751050024,-0.024209623536838195,-0.01909252190069053
2001-04-30,-0.031894132781880545,-0.022826404677281066,-0.01802332199575516
2001-05-01,-0.02964420203513626,-0.02120293518129324,-0.016746189474008414
2001-05-02,-0.028082784052423943,-0.020160401898190506,-0.015948855460869424
2001-05-03,-0.026104653299085706,-0.01867892529128907,-0.01476372126644082
2001-05-04,-0.03016063297991602,-0.021590064960804088,-0.017046248387674982
