,0.01,0.05,0.1
2002-01-09,-0.02263701643799123,-0.015296419394841202,-0.01184029147961733
2002-01-10,-0.022428247394050835,-0.015136249010473331,-0.011709684338034107
2002-01-11,-0.02166639219131507,-0.0146447034330227,-0.01134041245485438
2002-01-14,-0.023313751991245718,-0.015783411457165723,-0.012225871822979935
2002-01-15,-0.023439360004981792,-0.01586030051343979,-0.012290367390469764
2002-01-16,-0.022717439442653014,-0.015376330872272517,-0.011919464562490979
2002-01-17,-0.028535729633792858,-0.019248891615651856,-0.014870180556294948
2002-01-18,-0.02722946863016976,-0.0183899153893768,-0.014216870438370895
2002-01-22,-0.026415669451188742,-0.017845197652456186,-0.013806114765193642
2002-01-23,-0.02639508418812046,-0.017847004192034572,-0.013817179164145885
2002-01-24,-0.025377170450823893,-0.01718190529157024,-0.013308907955884712
2002-01-25,-0.02441816325026631,-0.01655304671084695,-0.012830780028470053
2002-01-28,-0.023545844086587983,-0.015967241622795718,-0.01238107134328764
2002-01-29,-0.022741918595168657,-0.01543270053393704,-0.01197300544034075
2002-01-30,-0.03895799043315172,-0.0260478342951867,-0.0200062140276245
2002-01-31,-0.03682752390854759,-0.02465757515722426,-0.018954677153652972
2002-02-01,-0.034948019318602634,-0.023443388787840046,-0.018037050162405956
2002-02-04,-0.03352038899254001,-0.02250074819143578,-0.01732161588694171
2002-02-05,-0.04360898028920994,-0.029202386943289253,-0.022419330177794204
2002-02-06,-0.041190355108826564,-0.02753849918294593,-0.02114105123190777
2002-02-07,-0.03924078207670641,-0.026227349981188367,-0.02014253138084447
2002-02-08,-0.03719709130015407,-0.024881572704896146,-0.019122876390599074
2002-02-11,-0.035348776745747185,-0.023670364707789684,-0.018205286467719083
2002-02-12,-0.03357429705004852,-0.02252596263203347,-0.017341139347510484
2002-02-13,-0.032155258163578976,-0.021588803489506165,-0.0166301703829876
2002-02-14,-0.030686116145947302,-0.020610379325501107,-0.01588370654071347
2002-02-15,-0.029389774161386346,-0.019708816853955004,-0.015183184003074932
2002-02-19,-0.03021674153786358,-0.020290280866363416,-0.01563849245100875
2002-02-20,-0.0358398203803574,-0.024002482306116717,-0.018456991201299452
2002-02-21,-0.0339914894136152,-0.02280602357025127,-0.01755411360177976
2002-02-22,-0.036259547339352056,-0.02434629387801994,-0.01874090296377976
2002-02-25,-0.034361632474581245,-0.02308192225702072,-0.01777435203285366
2002-02-26,-0.032634858689262754,-0.021977373762293494,-0.016942179350053377
2002-02-27,-0.031154230709704047,-0.020933447561026892,-0.016123369539460298
2002-02-28,-0.029676661090432203,-0.019957895564041782,-0.015384140975719052
2002-03-01,-0.028418313029269653,-0.019125624721193762,-0.014754684427002169
2002-03-04,-0.027315148157165334,-0.018404277896756034,-0.014203382795151282
2002-03-05,-0.026341941502149257,-0.017752189464932046,-0.013697781952097424
2002-03-06,-0.026015865104903377,-0.01755096402065886,-0.013553997178145245
2002-03-07,-0.025097607458829215,-0.01695338057463767,-0.013099942201383864
2002-03-08,-0.02453152882435226,-0.01659540385024753,-0.012836425554607914
2002-03-11,-0.023624557921367105,-0.016010240148674804,-0.012393989052487868
2002-03-12,-0.022853009113236105,-0.015483039680370058,-0.011988657944569053
2002-03-13,-0.022192433470076628,-0.01503853248446045,-0.01164833545651161
2002-03-14,-0.024068731984652147,-0.01624031179084716,-0.012549573232164922
2002-03-15,-0.023205466976648586,-0.01569035094090458,-0.012140925285304164
2002-03-18,-0.022536449766412545,-0.015255031746288292,-0.011809161427830126
2002-03-19,-0.021771711942845585,-0.01477796886277282,-0.011455975348892023
2002-03-20,-0.02110998308941229,-0.014348931612825268,-0.011129592156245658
2002-03-21,-0.026804764112976637,-0.01819946340687911,-0.014085469772021308
2002-03-22,-0.025734735965929272,-0.01749180994043729,-0.013549756390058761
2002-03-25,-0.02509795818461868,-0.017069079040634448,-0.013232088370833079
2002-03-26,-0.02856369903102372,-0.019455330887956323,-0.015078482344842523
2002-03-27,-0.027294489877533423,-0.018572560632950413,-0.014396493435630337
2002-03-28,-0.026079225444485734,-0.01778118715008357,-0.013798266862991185
2002-04-01,-0.02506321521309128,-0.017086672595789918,-0.013265585670233337
2002-04-02,-0.0240649727133276,-0.01644779010295203,-0.012787275865587337
2002-04-03,-0.02447018340403926,-0.016775172409412592,-0.013056607631099481
2002-04-04,-0.025859499138322254,-0.017785936157939285,-0.013856140361300003
2002-04-05,-0.02480120971858182,-0.01709123482439172,-0.013328659791370726
2002-04-08,-0.023999275284611012,-0.01655095042315768,-0.012915152303244533
2002-04-09,-0.023102257108750537,-0.01597690915356599,-0.012485180656586166
2002-04-10,-0.023152621826399357,-0.016070033139003393,-0.012577226630739595
2002-04-11,-0.0223796742415756,-0.015583215412885505,-0.012208574447967347
2002-04-12,-0.030706917467085395,-0.02133140537198795,-0.01665142044277537
2002-04-15,-0.029253462113762008,-0.020359388286471217,-0.015909308481266957
2002-04-16,-0.028658725258079453,-0.019976192594455582,-0.015623379751582348
2002-04-17,-0.027582854079996194,-0.019266333787978065,-0.015077643638769888
2002-04-18,-0.026434553036022473,-0.018484977580594718,-0.014477007503008434
2002-04-19,-0.025397102935940077,-0.017772750367178902,-0.013927583076006115
2002-04-22,-0.024491325064185183,-0.017075300635524714,-0.013365956727648823
2002-04-23,-0.027565653335409137,-0.019386576978572597,-0.015210605550314789
2002-04-24,-0.027258307999737642,-0.01914438584766904,-0.015019245395526935
2002-04-25,-0.02693359348007583,-0.01889140480644977,-0.014820668800704383
2002-04-26,-0.02587368683671133,-0.018160755964539383,-0.01425658551460034
2002-04-29,-0.028227110606033883,-0.019841988211997428,-0.015576312834824541
2002-04-30,-0.028802007467844063,-0.020271654563710526,-0.015920505742600975
2002-05-01,-0.027644394296909593,-0.01949833992533935,-0.01533327175922001
2002-05-02,-0.02653691621283583,-0.018722247854459535,-0.014726044750254881
2002-05-03,-0.025522199556222525,-0.01800840628700782,-0.014171712358703788
2002-05-06,-0.026352236192408795,-0.01859275949287209,-0.014628046846148868
2002-05-07,-0.03150505047920536,-0.022190099714649063,-0.017423053473762124
2002-05-08,-0.030197079246707594,-0.021261740457884242,-0.016697336834386987
2002-05-09,-0.02949085683827714,-0.020604831438195702,-0.016125976446413372
2002-05-10,-0.03189663431119473,-0.022292115880105268,-0.017439612227187096
2002-05-13,-0.03469748249075666,-0.02422935573834101,-0.01894210412404844
2002-05-14,-0.03302712073555432,-0.023102060160032613,-0.018075151343085512
2002-05-15,-0.03149312294089369,-0.02206552806202222,-0.017276481747795704
2002-05-16,-0.030445467054984878,-0.021326290963231045,-0.016696451365308878
2002-05-17,-0.029125941899558652,-0.020382362179385695,-0.015959503779474613
2002-05-20,-0.02784574965608223,-0.019497431095502678,-0.015276217560571877
2002-05-21,-0.029710234681560598,-0.020781328402438196,-0.01627345752511944
2002-05-22,-0.030359942925782635,-0.021232200618114302,-0.01662671890915992
2002-05-23,-0.028990964386047997,-0.020274222148516673,-0.015880043629784773
2002-05-24,-0.027699689509308206,-0.019389012593310634,-0.015194576528007068
2002-05-28,-0.02915377757157569,-0.020372876870092142,-0.015945038023050077
2002-05-29,-0.02896796453975897,-0.020263971892833108,-0.015869217061256793
2002-05-30,-0.028383112515703433,-0.019791392292107184,-0.015478440399720534
2002-05-31,-0.027320254790106392,-0.019034369763019893,-0.014892143317185368
2002-06-03,-0.026286735260335158,-0.01828776554925826,-0.014302920798359013
2002-06-04,-0.0367900476203494,-0.0255325684631799,-0.0199000812354184
2002-06-05,-0.03489593953570253,-0.024230151355342216,-0.01889814724919281
2002-06-06,-0.03325643212766887,-0.0231399840857881,-0.018068264226519522
2002-06-07,-0.03815022703250961,-0.02651522762114145,-0.020681487630354132
2002-06-10,-0.03623807827549484,-0.025188530908783886,-0.019661114920598792
2002-06-11,-0.034459851162922765,-0.023951348030574797,-0.018699819726483935
2002-06-12,-0.0369522817136308,-0.02568543092382025,-0.020042826975197336
2002-06-13,-0.03522830085164488,-0.024479922749217217,-0.01911099727760793
2002-06-14,-0.035567286850806935,-0.024715941851821646,-0.019292952290595876
2002-06-17,-0.03389456300945716,-0.023569887320496394,-0.018411197673688658
2002-06-18,-0.032475196642342934,-0.022605081469536967,-0.01766388115535879
2002-06-19,-0.031119203940095555,-0.02163983321775724,-0.01691538392888319
2002-06-20,-0.033872397649212044,-0.023574306496606107,-0.01842401032819673
2002-06-21,-0.034821283759244606,-0.02424468475459745,-0.01895176138778464
2002-06-24,-0.037523682859146396,-0.02611969865695453,-0.020401959500986777
2002-06-25,-0.03578704283337381,-0.02488793788795303,-0.01944664165459512
2002-06-26,-0.03804634673424834,-0.026460055816323425,-0.020663994040053146
2002-06-27,-0.03623943998000304,-0.02522066748167019,-0.019711405070640065
