,0.01,0.05,0.1
2001-01-02,-0.0351874407491993,-0.022038398757583396,-0.016617560138777077
2001-01-03,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-04,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-05,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-08,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-09,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-10,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-11,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-12,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-16,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-17,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-18,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-19,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-22,-0.030210078280799208,-0.02274744711657768,-0.01753004266204906
2001-01-23,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-24,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-25,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-26,-0.030210078280799208,-0.022038398757583396,-0.016617560138777077
2001-01-29,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-01-30,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-01-31,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-02-01,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-02-02,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-02-05,-0.030210078280799208,-0.021717045932102108,-0.016557052383949698
2001-02-06,-0.030210078280799208,-0.021717045932102108,-0.016557052383949698
2001-02-07,-0.030210078280799208,-0.021717045932102108,-0.016557052383949698
2001-02-08,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-02-09,-0.030210078280799208,-0.021717045932102108,-0.016067844726452788
2001-02-12,-0.030210078280799208,-0.021234907792438924,-0.01571615906695897
2001-02-13,-0.030210078280799208,-0.021234907792438924,-0.01571615906695897
2001-02-14,-0.030210078280799208,-0.021234907792438924,-0.01571615906695897
2001-02-15,-0.030210078280799208,-0.021234907792438924,-0.01571615906695897
2001-02-16,-0.030210078280799208,-0.021234907792438924,-0.01571615906695897
2001-02-20,-0.030210078280799208,-0.021063364457130845,-0.01571615906695897
2001-02-21,-0.030210078280799208,-0.021063364457130845,-0.016067844726452788
2001-02-22,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-02-23,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-02-26,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-02-27,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-02-28,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-01,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-02,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-05,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-06,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-07,-0.030210078280799208,-0.020513317313329175,-0.016067844726452788
2001-03-09,-0.030210078280799208,-0.020513317313329175,-0.016067844726452788
2001-03-12,-0.030210078280799208,-0.021063364457130845,-0.016557052383949698
2001-03-13,-0.0351874407491993,-0.021234907792438924,-0.01694794532173678
