,0.01,0.05,0.1
2001-01-02,-0.0316219580288503,-0.0211065353255825,-0.0174925151151832
2001-01-03,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-04,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-05,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-08,-0.0316219580288503,-0.0234724187790345,-0.018293718595375
2001-01-09,-0.0316219580288503,-0.0234724187790345,-0.018293718595375
2001-01-10,-0.0316219580288503,-0.0234724187790345,-0.018293718595375
2001-01-11,-0.0316219580288503,-0.0234724187790345,-0.018293718595375
2001-01-12,-0.0316219580288503,-0.0234724187790345,-0.018293718595375
2001-01-16,-0.0316219580288503,-0.0234724187790345,-0.0180466615641945
2001-01-17,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-18,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-19,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-22,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-23,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-24,-0.0316219580288503,-0.0233190013298667,-0.0180466615641945
2001-01-25,-0.0316219580288503,-0.0233190013298667,-0.0178677905838418
2001-01-26,-0.0316219580288503,-0.0233190013298667,-0.0178677905838418
2001-01-29,-0.0316219580288503,-0.0233190013298667,-0.0174925151151832
2001-01-30,-0.0316219580288503,-0.0233190013298667,-0.0174925151151832
2001-01-31,-0.0316219580288503,-0.0220488808558911,-0.0174925151151832
2001-02-01,-0.0316219580288503,-0.0220488808558911,-0.0174925151151832
2001-02-02,-0.0316219580288503,-0.0220488808558911,-0.0174925151151832
2001-02-05,-0.0316219580288503,-0.0220488808558911,-0.0168874375669094
2001-02-06,-0.0316219580288503,-0.0220255873040962,-0.0168874375669094
2001-02-07,-0.0316219580288503,-0.0220255873040962,-0.0168874375669094
2001-02-08,-0.0316219580288503,-0.0220255873040962,-0.0168874375669094
2001-02-09,-0.0316219580288503,-0.021339939810776,-0.0168874375669094
2001-02-12,-0.0316219580288503,-0.021339939810776,-0.0168874375669094
2001-02-13,-0.0316219580288503,-0.0211065353255825,-0.0168874375669094
2001-02-14,-0.0316219580288503,-0.0211065353255825,-0.0168874375669094
2001-02-15,-0.0316219580288503,-0.0211065353255825,-0.0165203429191764
2001-02-16,-0.0316219580288503,-0.0211065353255825,-0.0165203429191764
2001-02-20,-0.0287405707879297,-0.0210106000623566,-0.0168874375669094
2001-02-21,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-02-22,-0.0287405707879297,-0.0210106000623566,-0.0180466615641945
2001-02-23,-0.0287405707879297,-0.0210106000623566,-0.0178677905838418
2001-02-26,-0.0287405707879297,-0.0210106000623566,-0.0178677905838418
2001-02-27,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-02-28,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-03-01,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-03-02,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-03-05,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-03-06,-0.0287405707879297,-0.0210106000623566,-0.0177440326302935
2001-03-07,-0.0287405707879297,-0.0199055272867401,-0.0177440326302935
2001-03-09,-0.0287405707879297,-0.0199055272867401,-0.0177440326302935
2001-03-12,-0.0287405707879297,-0.021339939810776,-0.0178677905838418
2001-03-13,-0.044358080469542,-0.0233706463223706,-0.018293718595375
2001-03-14,-0.044358080469542,-0.0233706463223706,-0.018293718595375
