tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,1,1,0.01,0.0,0.01,0.0003392749058548361,4,0.232
0.01,1,1,0.01,0.0,0.001,0.00034729097387753427,4,0.23
0.01,1,1,0.01,0.0,0.0001,0.0002978020638693124,12,0.363
0.01,1,1,0.01,0.2,0.01,0.0002622811298351735,24,0.584
0.01,1,1,0.01,0.2,0.001,0.00037282946868799627,6,0.273
0.01,1,1,0.01,0.2,0.0001,0.0003241724625695497,8,0.307
0.01,1,1,0.001,0.0,0.01,0.0002806113916449249,1,0.181
0.01,1,1,0.001,0.0,0.001,0.0002837458159774542,1,0.184
0.01,1,1,0.001,0.0,0.0001,0.0002845890703611076,1,0.185
0.01,1,1,0.001,0.2,0.01,0.00046812702203169465,2,0.209
0.01,1,1,0.001,0.2,0.001,0.0004912183503620327,2,0.209
0.01,1,1,0.001,0.2,0.0001,0.0004970539594069123,2,0.21
0.01,1,1,0.0001,0.0,0.01,0.00026440079091116786,12,0.359
0.01,1,1,0.0001,0.0,0.001,0.00026460012304596603,12,0.365
0.01,1,1,0.0001,0.0,0.0001,0.0002653630799613893,12,0.365
0.01,1,1,0.0001,0.2,0.01,0.00026436010375618935,15,0.43
0.01,1,1,0.0001,0.2,0.001,0.00026363888173364103,15,0.428
0.01,1,1,0.0001,0.2,0.0001,0.0002653001865837723,15,0.432
0.01,1,5,0.01,0.0,0.01,0.0003705996787175536,1,0.185
0.01,1,5,0.01,0.0,0.001,0.00034567664260976017,1,0.19
0.01,1,5,0.01,0.0,0.0001,0.0003831222711596638,3,0.219
0.01,1,5,0.01,0.2,0.01,0.00031899791792966425,10,0.351
0.01,1,5,0.01,0.2,0.001,0.00032835023012012243,2,0.207
0.01,1,5,0.01,0.2,0.0001,0.000316043064231053,12,0.385
0.01,1,5,0.001,0.0,0.01,0.00038596714148297906,8,0.301
0.01,1,5,0.001,0.0,0.001,0.00037229000008665025,5,0.255
0.01,1,5,0.001,0.0,0.0001,0.00033920264104381204,10,0.37
0.01,1,5,0.001,0.2,0.01,0.00034161622170358896,3,0.227
0.01,1,5,0.001,0.2,0.001,0.0003768088645301759,3,0.227
0.01,1,5,0.001,0.2,0.0001,0.00033920208807103336,15,0.434
0.01,1,5,0.0001,0.0,0.01,0.0004231410857755691,32,0.696
0.01,1,5,0.0001,0.0,0.001,0.00042163493344560266,23,0.554
0.01,1,5,0.0001,0.0,0.0001,0.0004195045621600002,21,0.513
0.01,1,5,0.0001,0.2,0.01,0.00041659685666672885,40,0.871
0.01,1,5,0.0001,0.2,0.001,0.00042143408791162074,40,0.883
0.01,1,5,0.0001,0.2,0.0001,0.0004590613243635744,18,0.487
0.01,1,10,0.01,0.0,0.01,0.0002659711753949523,12,0.361
0.01,1,10,0.01,0.0,0.001,0.00026690721279010177,9,0.319
0.01,1,10,0.01,0.0,0.0001,0.0002615787088871002,11,0.355
0.01,1,10,0.01,0.2,0.01,0.0003185700043104589,23,0.575
0.01,1,10,0.01,0.2,0.001,0.0003480112354736775,7,0.295
0.01,1,10,0.01,0.2,0.0001,0.00029425526736304164,23,0.576
0.01,1,10,0.001,0.0,0.01,0.0003640833601821214,16,0.43
0.01,1,10,0.001,0.0,0.001,0.00033990200608968735,5,0.248
0.01,1,10,0.001,0.0,0.0001,0.0003082187904510647,11,0.35
0.01,1,10,0.001,0.2,0.01,0.00035362367634661496,22,0.56
0.01,1,10,0.001,0.2,0.001,0.000394841335946694,22,0.553
0.01,1,10,0.001,0.2,0.0001,0.0003495164855848998,49,1.023
0.01,1,10,0.0001,0.0,0.01,0.00041791883995756507,94,1.736
0.01,1,10,0.0001,0.0,0.001,0.00043169065611436963,16,0.443
0.01,1,10,0.0001,0.0,0.0001,0.00042259981273673475,31,0.682
0.01,1,10,0.0001,0.2,0.01,0.00041107082506641746,110,2.088
0.01,1,10,0.0001,0.2,0.001,0.0006361475097946823,73,1.458
0.01,1,10,0.0001,0.2,0.0001,0.0006466159829869866,89,1.723
0.01,5,1,0.01,0.0,0.01,0.0003063826879952103,13,0.646
0.01,5,1,0.01,0.0,0.001,0.00027850718470290303,33,1.211
0.01,5,1,0.01,0.0,0.0001,0.0003188521950505674,13,0.648
0.01,5,1,0.01,0.2,0.01,0.00030656420858576894,12,0.68
0.01,5,1,0.01,0.2,0.001,0.0003164249937981367,12,0.683
0.01,5,1,0.01,0.2,0.0001,0.00030668757972307503,12,0.681
0.01,5,1,0.001,0.0,0.01,0.0002631269453559071,2,0.34
0.01,5,1,0.001,0.0,0.001,0.00026308727683499455,2,0.341
0.01,5,1,0.001,0.0,0.0001,0.00026305808569304645,2,0.335
0.01,5,1,0.001,0.2,0.01,0.00026192827499471605,2,0.37
