tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,1,1,0.01,0.0,0.01,0.0002626384375616908,28,0.625
0.01,1,1,0.01,0.0,0.001,0.00032575716613791883,3,0.216
0.01,1,1,0.01,0.0,0.0001,0.0003368399920873344,3,0.212
0.01,1,1,0.01,0.2,0.01,0.000327415531501174,2,0.204
0.01,1,1,0.01,0.2,0.001,0.0003301994001958519,2,0.205
0.01,1,1,0.01,0.2,0.0001,0.0003215221513528377,4,0.241
0.01,1,1,0.001,0.0,0.01,0.0003576827875804156,6,0.264
0.01,1,1,0.001,0.0,0.001,0.00035520808887667954,6,0.258
0.01,1,1,0.001,0.0,0.0001,0.0003591705171857029,6,0.258
0.01,1,1,0.001,0.2,0.01,0.00035926824784837663,7,0.286
0.01,1,1,0.001,0.2,0.001,0.0003589429834391922,7,0.287
0.01,1,1,0.001,0.2,0.0001,0.0003647120320238173,7,0.295
0.01,1,1,0.0001,0.0,0.01,0.0004113371833227575,32,0.69
0.01,1,1,0.0001,0.0,0.001,0.0004164180427324027,29,0.637
0.01,1,1,0.0001,0.0,0.0001,0.0004177414521109313,29,0.642
0.01,1,1,0.0001,0.2,0.01,0.0004134405462536961,36,0.779
0.01,1,1,0.0001,0.2,0.001,0.0004204017750453204,28,0.645
0.01,1,1,0.0001,0.2,0.0001,0.00042124855099245906,28,0.643
0.01,1,5,0.01,0.0,0.01,0.00034556110040284693,2,0.197
0.01,1,5,0.01,0.0,0.001,0.00033482027356512845,13,0.381
0.01,1,5,0.01,0.0,0.0001,0.00026871240697801113,24,0.555
0.01,1,5,0.01,0.2,0.01,0.00038782789488323033,3,0.225
0.01,1,5,0.01,0.2,0.001,0.0003288589941803366,3,0.224
0.01,1,5,0.01,0.2,0.0001,0.000342023849952966,3,0.223
0.01,1,5,0.001,0.0,0.01,0.00035880287759937346,2,0.202
0.01,1,5,0.001,0.0,0.001,0.00031655331258662045,2,0.199
0.01,1,5,0.001,0.0,0.0001,0.000335489894496277,2,0.2
0.01,1,5,0.001,0.2,0.01,0.00036703835939988494,23,0.56
0.01,1,5,0.001,0.2,0.001,0.0003963867493439466,23,0.558
0.01,1,5,0.001,0.2,0.0001,0.00034772505750879645,48,0.996
0.01,1,5,0.0001,0.0,0.01,0.00044899689964950085,9,0.311
0.01,1,5,0.0001,0.0,0.001,0.0004164623096585274,9,0.31
0.01,1,5,0.0001,0.0,0.0001,0.00041286475607194006,9,0.312
0.01,1,5,0.0001,0.2,0.01,0.00042749286512844265,64,1.275
0.01,1,5,0.0001,0.2,0.001,0.0006110771209932864,21,0.534
0.01,1,5,0.0001,0.2,0.0001,0.0005356360925361514,74,1.439
0.01,1,10,0.01,0.0,0.01,0.0003759725368581712,4,0.229
0.01,1,10,0.01,0.0,0.001,0.000381944642867893,2,0.196
0.01,1,10,0.01,0.0,0.0001,0.0003754878998734057,6,0.271
0.01,1,10,0.01,0.2,0.01,0.0003308492887299508,12,0.381
0.01,1,10,0.01,0.2,0.001,0.00026130879996344447,31,0.695
0.01,1,10,0.01,0.2,0.0001,0.00032870203722268343,12,0.385
0.01,1,10,0.001,0.0,0.01,0.0003032876702491194,1,0.188
0.01,1,10,0.001,0.0,0.001,0.00031479456811212003,1,0.184
0.01,1,10,0.001,0.0,0.0001,0.00031403920729644597,1,0.18
0.01,1,10,0.001,0.2,0.01,0.0003192635776940733,1,0.189
0.01,1,10,0.001,0.2,0.001,0.00031613613828085363,1,0.191
0.01,1,10,0.001,0.2,0.0001,0.00031451068934984505,1,0.187
0.01,1,10,0.0001,0.0,0.01,0.00026089578750543296,13,0.375
0.01,1,10,0.0001,0.0,0.001,0.00026133135543204844,16,0.43
0.01,1,10,0.0001,0.0,0.0001,0.00026129093021154404,16,0.437
