,0.01,0.05,0.1
2002-01-09,-0.02776295,-0.026588827,-0.013549924
2002-01-10,-0.027602196,-0.026487052,-0.013413429
2002-01-11,-0.027446628,-0.026388466,-0.013281226
2002-01-14,-0.027288437,-0.026288286,-0.013146877
2002-01-15,-0.027489305,-0.026415542,-0.013317585
2002-01-16,-0.02743423,-0.026380643,-0.013270736
2002-01-17,-0.027551532,-0.02645494,-0.013370395
2002-01-18,-0.028243244,-0.026893139,-0.013957918
2002-01-22,-0.028018236,-0.026750594,-0.013766825
2002-01-23,-0.027804792,-0.026615381,-0.013585508
2002-01-24,-0.027739525,-0.02657403,-0.013530076
2002-01-25,-0.027739704,-0.026574135,-0.013530195
2002-01-28,-0.027535558,-0.026444837,-0.013356864
2002-01-29,-0.027304173,-0.026298255,-0.013160288
2002-01-30,-0.027473032,-0.02640517,-0.013303697
2002-01-31,-0.029825807,-0.02789557,-0.015302122
2002-02-01,-0.029752672,-0.027849257,-0.015240073
2002-02-04,-0.029863179,-0.027919263,-0.015333891
2002-02-05,-0.029525757,-0.027705476,-0.015047312
2002-02-06,-0.030941308,-0.028602168,-0.016249657
2002-02-07,-0.032405555,-0.020218596,-0.026317954
2002-02-08,-0.031927884,-0.0199133,-0.025903106
2002-02-11,-0.03149128,-0.019634381,-0.02552402
2002-02-12,-0.031760275,-0.019806221,-0.025757492
2002-02-13,-0.031895578,-0.019892663,-0.025875032
2002-02-14,-0.03146881,-0.019619986,-0.02550447
2002-02-15,-0.0313465,-0.019541815,-0.025398254
2002-02-19,-0.030950963,-0.019289076,-0.025054753
2002-02-20,-0.030961871,-0.01929599,-0.02506417
2002-02-21,-0.03168869,-0.01976049,-0.025695443
2002-02-22,-0.031812012,-0.019839302,-0.025802553
2002-02-25,-0.031971753,-0.019941375,-0.025941253
2002-02-26,-0.031671047,-0.019749224,-0.025680065
2002-02-27,-0.032251477,-0.020120144,-0.026184142
2002-02-28,-0.031703055,-0.019769669,-0.0257079
2002-03-01,-0.031246424,-0.019477889,-0.02531135
2002-03-04,-0.030904472,-0.019259349,-0.02501434
2002-03-05,-0.03199047,-0.01995334,-0.025957465
2002-03-06,-0.032486677,-0.020270422,-0.026388466
2002-03-07,-0.032046854,-0.019989356,-0.02600646
2002-03-08,-0.030251265,-0.030806229,-0.014392018
2002-03-11,-0.029814124,-0.030528635,-0.014051437
2002-03-12,-0.029489756,-0.030322686,-0.013798773
2002-03-13,-0.029131949,-0.030095518,-0.013520002
2002-03-14,-0.028805256,-0.029888123,-0.01326555
2002-03-15,-0.028774679,-0.029868647,-0.013241708
2002-03-18,-0.02848345,-0.029683784,-0.013014853
2002-03-19,-0.028612256,-0.029765546,-0.013115168
2002-03-20,-0.028312445,-0.029575154,-0.012881577
2002-03-21,-0.028149426,-0.029471725,-0.012754619
2002-03-22,-0.028710127,-0.029827729,-0.013191462
2002-03-25,-0.02844894,-0.029661864,-0.012987971
2002-03-26,-0.028257608,-0.029540375,-0.0128389
2002-03-27,-0.028717399,-0.029832333,-0.013197064
2002-03-28,-0.028505147,-0.029697537,-0.013031721
2002-04-01,-0.028348625,-0.029598206,-0.01290983
2002-04-02,-0.02808088,-0.02942817,-0.012701213
2002-04-03,-0.02783674,-0.029273182,-0.012511015
2002-04-04,-0.027847826,-0.029280216,-0.012519658
2002-04-05,-0.027997911,-0.029375479,-0.012636542
2002-04-08,-0.027765095,-0.01692164,-0.012320459
2002-04-09,-0.02756852,-0.016788706,-0.012147188
2002-04-10,-0.02739638,-0.016672224,-0.011995256
2002-04-11,-0.027416468,-0.016685843,-0.012013078
2002-04-12,-0.02782607,-0.016962945,-0.012374222
2002-04-15,-0.028946817,-0.017721042,-0.0133625865
2002-04-16,-0.028663397,-0.017529339,-0.013112664
2002-04-17,-0.028564155,-0.017462164,-0.013025165
2002-04-18,-0.029793441,-0.018293768,-0.014109194
2002-04-19,-0.029369593,-0.01800707,-0.013735473
2002-04-22,-0.028958917,-0.017729267,-0.013373315
2002-04-23,-0.028637946,-0.017512158,-0.013090253
2002-04-24,-0.028949201,-0.017722726,-0.013364732
2002-04-25,-0.028751075,-0.01758869,-0.013190031
2002-04-26,-0.028561532,-0.017460376,-0.01302284
2002-04-29,-0.028292656,-0.017278567,-0.012785733
2002-04-30,-0.02857238,-0.017467782,-0.013032377
2002-05-01,-0.028604865,-0.017489746,-0.013061047
2002-05-02,-0.028686762,-0.017545134,-0.013133287
2002-05-03,-0.028609991,-0.017493218,-0.013065636
2002-05-06,-0.026652575,-0.032000497,-0.024855733
2002-05-07,-0.026706398,-0.03203866,-0.024891317
2002-05-08,-0.0274207,-0.03254457,-0.025362313
2002-05-09,-0.027229905,-0.032409415,-0.025236487
2002-05-10,-0.030233562,-0.034537017,-0.027217329
2002-05-13,-0.030017674,-0.034384087,-0.027074993
2002-05-14,-0.029940069,-0.034329057,-0.027023733
2002-05-15,-0.030044913,-0.034403354,-0.027092934
2002-05-16,-0.030339241,-0.034611866,-0.027287006
2002-05-17,-0.029714882,-0.03416957,-0.026875257
2002-05-20,-0.029207468,-0.033810183,-0.026540637
2002-05-21,-0.028802872,-0.03352359,-0.026273847
2002-05-22,-0.028671205,-0.033430338,-0.026187003
2002-05-23,-0.028439462,-0.03326617,-0.026034176
2002-05-24,-0.02804315,-0.032985494,-0.02577281
2002-05-28,-0.027908921,-0.032890424,-0.025684297
2002-05-29,-0.02785039,-0.032848924,-0.025645673
2002-05-30,-0.027628422,-0.032691702,-0.025499225
2002-05-31,-0.027359784,-0.03250143,-0.02532214
2002-06-03,-0.027022839,-0.032262757,-0.025099933
2002-06-04,-0.026842952,-0.019546315,-0.01515311
2002-06-05,-0.02832514,-0.020509854,-0.016385317
2002-06-06,-0.027906895,-0.020237982,-0.016037643
2002-06-07,-0.027814388,-0.020177841,-0.015960753
2002-06-10,-0.028426945,-0.020575985,-0.016469955
2002-06-11,-0.028007984,-0.020303652,-0.016121686
2002-06-12,-0.027677715,-0.020089015,-0.015847087
2002-06-13,-0.028007686,-0.020303518,-0.016121447
2002-06-14,-0.027825952,-0.020185366,-0.01597035
2002-06-17,-0.027805328,-0.020171955,-0.015953243
2002-06-18,-0.027511239,-0.019980773,-0.015708745
2002-06-19,-0.029025435,-0.020965025,-0.016967535
2002-06-20,-0.028572798,-0.020670816,-0.016591191
2002-06-21,-0.02869308,-0.020749003,-0.016691208
2002-06-24,-0.02861917,-0.020701006,-0.016629755
2002-06-25,-0.028799534,-0.020818219,-0.01677972
2002-06-26,-0.028412282,-0.020566463,-0.016457736
2002-06-27,-0.02859646,-0.020686224,-0.01661092
2002-06-28,-0.028226554,-0.020445764,-0.01630336
2002-07-01,-0.02850902,-0.02062942,-0.016538203
2002-07-02,-0.027638972,-0.019819543,-0.021361113
2002-07-03,-0.028370261,-0.020320669,-0.022035062
2002-07-05,-0.028750539,-0.02058129,-0.022385478
2002-07-08,-0.028473496,-0.020391405,-0.022130191
2002-07-09,-0.0306046,-0.021851763,-0.024094105
2002-07-10,-0.030237436,-0.021600217,-0.02375573
2002-07-11,-0.030841291,-0.022014022,-0.024312198
2002-07-12,-0.032018602,-0.022820815,-0.025397122
2002-07-15,-0.031295,-0.022324935,-0.024730265
2002-07-16,-0.030586243,-0.021839216,-0.024077177
2002-07-17,-0.02991134,-0.021376729,-0.023455203
2002-07-18,-0.02981931,-0.021313682,-0.023370385
2002-07-19,-0.029323041,-0.020973533,-0.022913039
2002-07-22,-0.03033191,-0.021664962,-0.023842752
2002-07-23,-0.03255272,-0.023186803,-0.025889397
2002-07-24,-0.033181727,-0.023617849,-0.026468992
2002-07-25,-0.0338313,-0.024062976,-0.027067602
2002-07-26,-0.03756398,-0.026620924,-0.030507445
2002-07-29,-0.036188245,-0.025678158,-0.029239655
2002-07-30,-0.03560877,-0.025281057,-0.028705597
2002-07-31,-0.041493475,-0.023346916,-0.028647661
2002-08-01,-0.04004866,-0.0222556,-0.027289033
2002-08-02,-0.038943887,-0.02142109,-0.026250184
