tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,1,1,0.01,0.0,0.01,0.0003404733433853835,6,0.742
0.01,1,1,0.01,0.0,0.001,0.0003336213412694633,9,0.303
0.01,1,1,0.01,0.0,0.0001,0.00031010861857794225,9,0.307
0.01,1,1,0.01,0.2,0.01,0.00034615217009559274,22,0.539
0.01,1,1,0.01,0.2,0.001,0.00031514689908362925,42,0.86
0.01,1,1,0.01,0.2,0.0001,0.0003647971316240728,25,0.59
0.01,1,1,0.001,0.0,0.01,0.00032326969085261226,6,0.254
0.01,1,1,0.001,0.0,0.001,0.0003458900027908385,5,0.24
0.01,1,1,0.001,0.0,0.0001,0.0003418466658331454,10,0.319
0.01,1,1,0.001,0.2,0.01,0.0004310380609240383,7,0.277
0.01,1,1,0.001,0.2,0.001,0.00026104337302967906,7,0.288
0.01,1,1,0.001,0.2,0.0001,0.0002739997289609164,7,0.286
0.01,1,1,0.0001,0.0,0.01,0.0002569917996879667,37,0.747
0.01,1,1,0.0001,0.0,0.001,0.000253100908594206,38,0.776
0.01,1,1,0.0001,0.0,0.0001,0.00025316959363408387,38,0.767
0.01,1,1,0.0001,0.2,0.01,0.0002632139076013118,63,1.218
0.01,1,1,0.0001,0.2,0.001,0.00026075507048517466,60,1.178
0.01,1,1,0.0001,0.2,0.0001,0.00025775766698643565,59,1.146
0.01,1,5,0.01,0.0,0.01,0.0002930425980594009,28,0.604
0.01,1,5,0.01,0.0,0.001,0.00030441180570051074,6,0.259
0.01,1,5,0.01,0.0,0.0001,0.00025817847927100956,6,0.262
0.01,1,5,0.01,0.2,0.01,0.0003110778925474733,13,0.385
0.01,1,5,0.01,0.2,0.001,0.00034567108377814293,13,0.385
0.01,1,5,0.01,0.2,0.0001,0.0003607239050325006,11,0.351
0.01,1,5,0.001,0.0,0.01,0.0002638966834638268,1,0.176
0.01,1,5,0.001,0.0,0.001,0.0002630289236549288,1,0.181
0.01,1,5,0.001,0.0,0.0001,0.00026302644982934,1,0.181
0.01,1,5,0.001,0.2,0.01,0.0003069670929107815,1,0.189
0.01,1,5,0.001,0.2,0.001,0.0003110601392108947,1,0.182
0.01,1,5,0.001,0.2,0.0001,0.00031167545239441097,1,0.181
0.01,1,5,0.0001,0.0,0.01,0.0002639988379087299,13,0.367
0.01,1,5,0.0001,0.0,0.001,0.00026305633946321905,13,0.387
0.01,1,5,0.0001,0.0,0.0001,0.00026306137442588806,13,0.376
0.01,1,5,0.0001,0.2,0.01,0.00029980932595208287,10,0.33
0.01,1,5,0.0001,0.2,0.001,0.000305232621030882,10,0.337
0.01,1,5,0.0001,0.2,0.0001,0.0003059959562961012,10,0.329
0.01,1,10,0.01,0.0,0.01,0.0002792273589875549,1,0.178
