tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,1,1,0.01,0.0,0.01,0.0003203850064892322,7,0.284
0.01,1,1,0.01,0.0,0.001,0.00023183437588158995,8,0.292
0.01,1,1,0.01,0.0,0.0001,2.3095628421287984e-05,8,0.292
0.01,1,1,0.01,0.2,0.01,0.0003343343560118228,30,0.683
0.01,1,1,0.01,0.2,0.001,0.0003435473481658846,28,0.637
0.01,1,1,0.01,0.2,0.0001,0.00021595932776108384,24,0.581
0.01,1,1,0.001,0.0,0.01,0.00031884032068774104,11,0.339
0.01,1,1,0.001,0.0,0.001,0.00036367803113535047,4,0.233
0.01,1,1,0.001,0.0,0.0001,0.0003717137733474374,4,0.23
0.01,1,1,0.001,0.2,0.01,0.000378213357180357,5,0.248
0.01,1,1,0.001,0.2,0.001,0.00030604060157202184,5,0.256
0.01,1,1,0.001,0.2,0.0001,0.00031831683008931577,5,0.256
0.01,1,1,0.0001,0.0,0.01,0.00025271708727814257,36,0.754
0.01,1,1,0.0001,0.0,0.001,0.00027693979791365564,36,0.74
0.01,1,1,0.0001,0.0,0.0001,0.0002891980402637273,36,0.763
0.01,1,1,0.0001,0.2,0.01,0.0002493145875632763,50,1.007
0.01,1,1,0.0001,0.2,0.001,0.0002753589069470763,49,0.993
0.01,1,1,0.0001,0.2,0.0001,0.00028781837318092585,49,0.997
0.01,1,5,0.01,0.0,0.01,0.00036606265348382294,7,0.274
0.01,1,5,0.01,0.0,0.001,0.00030926187173463404,3,0.215
0.01,1,5,0.01,0.0,0.0001,4.299246575101279e-05,3,0.214
0.01,1,5,0.01,0.2,0.01,0.00031390716321766376,14,0.408
0.01,1,5,0.01,0.2,0.001,0.0003425645409151912,14,0.407
0.01,1,5,0.01,0.2,0.0001,0.00019576579506974667,9,0.319
0.01,1,5,0.001,0.0,0.01,0.0002557069237809628,4,0.231
0.01,1,5,0.001,0.0,0.001,0.0002490496262907982,5,0.25
0.01,1,5,0.001,0.0,0.0001,0.0002490116166882217,5,0.243
0.01,1,5,0.001,0.2,0.01,0.00024925885372795165,4,0.239
0.01,1,5,0.001,0.2,0.001,0.0002572975354269147,4,0.237
0.01,1,5,0.001,0.2,0.0001,0.00026791199343279004,4,0.236
0.01,1,5,0.0001,0.0,0.01,0.00023994424554985017,37,0.77
0.01,1,5,0.0001,0.0,0.001,0.0002459480310790241,42,0.852
0.01,1,5,0.0001,0.0,0.0001,0.00023732593399472535,44,0.881
0.01,1,5,0.0001,0.2,0.01,0.00024183480127248913,37,0.792
0.01,1,5,0.0001,0.2,0.001,0.0002399658551439643,37,0.804
0.01,1,5,0.0001,0.2,0.0001,0.00023770038387738168,44,0.918
0.01,1,10,0.01,0.0,0.01,0.0003086328215431422,2,0.199
0.01,1,10,0.01,0.0,0.001,0.00028214213671162724,7,0.281
0.01,1,10,0.01,0.0,0.0001,4.991970126866363e-05,24,0.558
0.01,1,10,0.01,0.2,0.01,0.0002595334663055837,29,0.665
0.01,1,10,0.01,0.2,0.001,0.0002903809945564717,13,0.397
0.01,1,10,0.01,0.2,0.0001,0.00013579173537436873,15,0.428
0.01,1,10,0.001,0.0,0.01,0.0003134241560474038,14,0.392
0.01,1,10,0.001,0.0,0.001,0.0003254010807722807,22,0.53
0.01,1,10,0.001,0.0,0.0001,7.83240011514863e-06,30,0.654
0.01,1,10,0.001,0.2,0.01,0.0004286954062990844,1,0.187
0.01,1,10,0.001,0.2,0.001,0.0004435567825566977,1,0.188
0.01,1,10,0.001,0.2,0.0001,0.0004443508223630488,1,0.189
0.01,1,10,0.0001,0.0,0.01,0.00023504652199335396,11,0.345
0.01,1,10,0.0001,0.0,0.001,0.00023202884767670184,10,0.332
0.01,1,10,0.0001,0.0,0.0001,0.00023044869885779917,10,0.326
0.01,1,10,0.0001,0.2,0.01,0.00027098669670522213,9,0.325
0.01,1,10,0.0001,0.2,0.001,0.0002589813666418195,9,0.324
0.01,1,10,0.0001,0.2,0.0001,0.00025526669924147427,9,0.323
0.01,5,1,0.01,0.0,0.01,0.0002929885813500732,6,0.445
0.01,5,1,0.01,0.0,0.001,0.0003393458900973201,6,0.446
0.01,5,1,0.01,0.0,0.0001,0.00029368189279921353,5,0.413
0.01,5,1,0.01,0.2,0.01,0.0002418978838250041,24,1.03
0.01,5,1,0.01,0.2,0.001,0.00024893422960303724,24,1.03
0.01,5,1,0.01,0.2,0.0001,0.00024160821340046823,24,1.027
0.01,5,1,0.001,0.0,0.01,0.00037422284367494285,16,0.725
0.01,5,1,0.001,0.0,0.001,0.000364681298378855,12,0.607
0.01,5,1,0.001,0.0,0.0001,0.000356654345523566,9,0.525
