tau,n_layers,n_units,lr,dropout,weight_decay,val_loss,train_epochs,time_sec
0.01,1,1,0.01,0.0,0.01,0.0003405218885745853,6,0.266
0.01,1,1,0.01,0.0,0.001,0.00035438721533864737,9,0.303
0.01,1,1,0.01,0.0,0.0001,0.0002943251165561378,9,0.31
0.01,1,1,0.01,0.2,0.01,0.0003461047017481178,22,0.548
0.01,1,1,0.01,0.2,0.001,0.000315103679895401,42,0.88
0.01,1,1,0.01,0.2,0.0001,0.0003512567200232297,16,0.437
0.01,1,1,0.001,0.0,0.01,0.00032376189483329654,6,0.255
0.01,1,1,0.001,0.0,0.001,0.0003360664704814553,7,0.276
0.01,1,1,0.001,0.0,0.0001,0.000327617977745831,14,0.39
0.01,1,1,0.001,0.2,0.01,0.0004398887394927442,7,0.282
0.01,1,1,0.001,0.2,0.001,0.00026064395206049085,7,0.287
0.01,1,1,0.001,0.2,0.0001,0.0002723884826991707,7,0.283
0.01,1,1,0.0001,0.0,0.01,0.0002576841216068715,37,0.761
0.01,1,1,0.0001,0.0,0.001,0.0002537511754781008,38,0.772
0.01,1,1,0.0001,0.0,0.0001,0.00025365990586578846,38,0.786
0.01,1,1,0.0001,0.2,0.01,0.00026235770201310515,63,1.23
0.01,1,1,0.0001,0.2,0.001,0.0002597381535451859,60,1.176
0.01,1,1,0.0001,0.2,0.0001,0.0002604517212603241,59,1.159
0.01,1,5,0.01,0.0,0.01,0.00029303599148988724,28,0.618
0.01,1,5,0.01,0.0,0.001,0.0003198332851752639,6,0.265
0.01,1,5,0.01,0.0,0.0001,0.00035630937782116234,4,0.232
0.01,1,5,0.01,0.2,0.01,0.00031104148365557194,13,0.386
0.01,1,5,0.01,0.2,0.001,0.00035223428858444095,13,0.387
0.01,1,5,0.01,0.2,0.0001,0.0003668068675324321,11,0.355
0.01,1,5,0.001,0.0,0.01,0.00026420067297294736,1,0.182
0.01,1,5,0.001,0.0,0.001,0.0002632777614053339,1,0.182
0.01,1,5,0.001,0.0,0.0001,0.0002633031108416617,1,0.178
0.01,1,5,0.001,0.2,0.01,0.0003077783912885934,1,0.183
0.01,1,5,0.001,0.2,0.001,0.0003117042942903936,1,0.186
0.01,1,5,0.001,0.2,0.0001,0.00031231637694872916,1,0.187
0.01,1,5,0.0001,0.0,0.01,0.00026422212249599397,13,0.373
0.01,1,5,0.0001,0.0,0.001,0.0002633247058838606,13,0.379
0.01,1,5,0.0001,0.0,0.0001,0.00026330616674385965,13,0.376
0.01,1,5,0.0001,0.2,0.01,0.00030116320704109967,10,0.337
0.01,1,5,0.0001,0.2,0.001,0.00030590573442168534,10,0.343
0.01,1,5,0.0001,0.2,0.0001,0.0003064915363211185,10,0.339
0.01,1,10,0.01,0.0,0.01,0.00027900058194063604,1,0.182
0.01,1,10,0.01,0.0,0.001,0.0002615712583065033,17,0.439
0.01,1,10,0.01,0.0,0.0001,0.00025781491422094405,22,0.518
0.01,1,10,0.01,0.2,0.01,0.0003406792238820344,1,0.188
0.01,1,10,0.01,0.2,0.001,0.0003158277540933341,13,0.396
0.01,1,10,0.01,0.2,0.0001,0.00031134061282500625,5,0.256
0.01,1,10,0.001,0.0,0.01,0.0003122737107332796,11,0.34
0.01,1,10,0.001,0.0,0.001,0.0003433825622778386,11,0.342
0.01,1,10,0.001,0.0,0.0001,0.00029640234424732625,15,0.42
0.01,1,10,0.001,0.2,0.01,0.0003673459868878126,12,0.378
0.01,1,10,0.001,0.2,0.001,0.00036259915214031935,21,0.519
0.01,1,10,0.001,0.2,0.0001,0.00037891295505687594,14,0.407
0.01,1,10,0.0001,0.0,0.01,0.00034877139842137694,35,0.74
0.01,1,10,0.0001,0.0,0.001,0.0004125051200389862,11,0.338
0.01,1,10,0.0001,0.0,0.0001,0.0004317069542594254,11,0.343
0.01,1,10,0.0001,0.2,0.01,0.00037912148400209844,92,1.732
0.01,1,10,0.0001,0.2,0.001,0.0023059286177158356,1,0.19
0.01,1,10,0.0001,0.2,0.0001,0.002316111233085394,1,0.187
0.01,5,1,0.01,0.0,0.01,0.0003600490454118699,11,0.574
0.01,5,1,0.01,0.0,0.001,0.00036148878280073404,11,0.583
0.01,5,1,0.01,0.0,0.0001,0.0003639179340098053,11,0.576
0.01,5,1,0.01,0.2,0.01,0.0002611356903798878,28,1.151
0.01,5,1,0.01,0.2,0.001,0.00026843041996471584,28,1.159
0.01,5,1,0.01,0.2,0.0001,0.00027114865952171385,28,1.149
0.01,5,1,0.001,0.0,0.01,0.0002719302719924599,4,0.392
0.01,5,1,0.001,0.0,0.001,0.00027273318846710026,3,0.358
0.01,5,1,0.001,0.0,0.0001,0.0002729342086240649,3,0.358
0.01,5,1,0.001,0.2,0.01,0.00027093509561382234,4,0.434
0.01,5,1,0.001,0.2,0.001,0.00027109458460472524,4,0.428
0.01,5,1,0.001,0.2,0.0001,0.0002711663255468011,4,0.423
0.01,5,1,0.0001,0.0,0.01,0.00026137090753763914,34,1.22
0.01,5,1,0.0001,0.0,0.001,0.00026135690859518945,34,1.221
0.01,5,1,0.0001,0.0,0.0001,0.00026135414373129606,34,1.226
0.01,5,1,0.0001,0.2,0.01,0.0002613820252008736,34,1.322
0.01,5,1,0.0001,0.2,0.001,0.00026136107044294477,34,1.34
0.01,5,1,0.0001,0.2,0.0001,0.0002613578108139336,34,1.337
0.01,5,5,0.01,0.0,0.01,0.0002612815878819674,2,0.339
0.01,5,5,0.01,0.0,0.001,0.0002611691888887435,9,0.535
0.01,5,5,0.01,0.0,0.0001,0.0002737820614129305,16,0.734
0.01,5,5,0.01,0.2,0.01,0.00031615348416380584,9,0.587
0.01,5,5,0.01,0.2,0.001,0.0002737274917308241,21,0.967
0.01,5,5,0.01,0.2,0.0001,0.000324245891533792,9,0.589
0.01,5,5,0.001,0.0,0.01,0.0003599639458116144,9,0.542
0.01,5,5,0.001,0.0,0.001,0.0003543452767189592,5,0.473
0.01,5,5,0.001,0.0,0.0001,0.00034012511605396867,5,0.419
0.01,5,5,0.001,0.2,0.01,0.00038151832995936275,13,0.736
0.01,5,5,0.001,0.2,0.001,0.0003579466138035059,29,1.251
0.01,5,5,0.001,0.2,0.0001,0.00033723280648700893,40,1.558
0.01,5,5,0.0001,0.0,0.01,0.000457266898592934,15,0.701
0.01,5,5,0.0001,0.0,0.001,0.00042221270268782973,15,0.712
0.01,5,5,0.0001,0.0,0.0001,0.000416395312640816,15,0.73
0.01,5,5,0.0001,0.2,0.01,0.0005859470693394542,1,0.342
0.01,5,5,0.0001,0.2,0.001,0.0005849696462973952,1,0.344
0.01,5,5,0.0001,0.2,0.0001,0.0005852232570759952,1,0.345
0.01,5,10,0.01,0.0,0.01,0.0003506176872178912,8,0.522
0.01,5,10,0.01,0.0,0.001,0.00031892425613477826,12,0.63
0.01,5,10,0.01,0.0,0.0001,0.00031206075800582767,10,0.584
0.01,5,10,0.01,0.2,0.01,0.00032638999982737005,10,0.634
0.01,5,10,0.01,0.2,0.001,0.0003408626653254032,19,0.921
0.01,5,10,0.01,0.2,0.0001,0.00031121986103244126,9,0.607
0.01,5,10,0.001,0.0,0.01,0.00031147629488259554,3,0.373
0.01,5,10,0.001,0.0,0.001,0.00035245897015556693,4,0.418
0.01,5,10,0.001,0.0,0.0001,0.00036896270466968417,20,0.857
0.01,5,10,0.001,0.2,0.01,0.0005104461451992393,1,0.35
0.01,5,10,0.001,0.2,0.001,0.0006467219791375101,1,0.346
0.01,5,10,0.001,0.2,0.0001,0.0006684394320473075,1,0.355
0.01,5,10,0.0001,0.0,0.01,0.0002614201803226024,17,0.773
0.01,5,10,0.0001,0.0,0.001,0.00026125364820472896,14,0.695
0.01,5,10,0.0001,0.0,0.0001,0.0002611496893223375,14,0.709
0.01,5,10,0.0001,0.2,0.01,0.00032501533860340714,9,0.605
0.01,5,10,0.0001,0.2,0.001,0.0002616576093714684,8,0.57
0.01,5,10,0.0001,0.2,0.0001,0.00026669009821489453,8,0.572
0.01,10,1,0.01,0.0,0.01,0.00027051122742705047,12,0.927
0.01,10,1,0.01,0.0,0.001,0.0002822362584993243,20,1.253
0.01,10,1,0.01,0.0,0.0001,0.0002613880205899477,39,2.049
0.01,10,1,0.01,0.2,0.01,0.0003027037892024964,6,0.751
0.01,10,1,0.01,0.2,0.001,0.0003010299988090992,6,0.747
0.01,10,1,0.01,0.2,0.0001,0.0003147227398585528,6,0.754
0.01,10,1,0.001,0.0,0.01,0.00035631010541692376,6,0.675
0.01,10,1,0.001,0.0,0.001,0.000363859289791435,7,0.715
0.01,10,1,0.001,0.0,0.0001,0.00036057669785805047,7,0.707
0.01,10,1,0.001,0.2,0.01,0.0003634366730693728,15,1.167
0.01,10,1,0.001,0.2,0.001,0.0003628519189078361,15,1.165
0.01,10,1,0.001,0.2,0.0001,0.0003538732707966119,5,0.7
0.01,10,1,0.0001,0.0,0.01,0.0003874808899126947,37,1.972
0.01,10,1,0.0001,0.0,0.001,0.00042218700400553644,21,1.301
0.01,10,1,0.0001,0.0,0.0001,0.00042026632581837475,14,1.012
0.01,10,1,0.0001,0.2,0.01,0.0004035589226987213,52,2.912
0.01,10,1,0.0001,0.2,0.001,0.0004307484778109938,45,2.556
0.01,10,1,0.0001,0.2,0.0001,0.00040753954090178013,18,1.301
0.01,10,5,0.01,0.0,0.01,0.00031674373894929886,2,0.508
0.01,10,5,0.01,0.0,0.001,0.00029394292505458,13,0.987
0.01,10,5,0.01,0.0,0.0001,0.00026586753665469587,8,0.775
0.01,10,5,0.01,0.2,0.01,0.00028153424500487745,5,0.712
0.01,10,5,0.01,0.2,0.001,0.00028056008159182966,6,0.765
0.01,10,5,0.01,0.2,0.0001,0.00031009558006189764,18,1.341
0.01,10,5,0.001,0.0,0.01,0.0003865086182486266,8,0.775
0.01,10,5,0.001,0.0,0.001,0.00038752128602936864,8,0.765
0.01,10,5,0.001,0.0,0.0001,0.000341125502018258,8,0.765
0.01,10,5,0.001,0.2,0.01,0.00034951604902744293,4,0.672
0.01,10,5,0.001,0.2,0.001,0.0003685145638883114,7,0.815
0.01,10,5,0.001,0.2,0.0001,0.0003592440625652671,4,0.675
0.01,10,5,0.0001,0.0,0.01,0.00039912498323246837,32,1.79
0.01,10,5,0.0001,0.0,0.001,0.0004189909668639302,41,2.196
0.01,10,5,0.0001,0.0,0.0001,0.000420425581978634,23,1.424
0.01,10,5,0.0001,0.2,0.01,0.00040240687667392194,33,2.083
0.01,10,5,0.0001,0.2,0.001,0.00040539525798521936,48,2.771
0.01,10,5,0.0001,0.2,0.0001,0.0003923268523067236,16,1.245
0.01,10,10,0.01,0.0,0.01,0.00035190541530027986,8,0.79
0.01,10,10,0.01,0.0,0.001,0.00027866294840350747,8,0.779
0.01,10,10,0.01,0.0,0.0001,0.00026543895364739,1,0.481
0.01,10,10,0.01,0.2,0.01,0.00026431152946315706,6,0.839
0.01,10,10,0.01,0.2,0.001,0.0002874977944884449,13,1.139
0.01,10,10,0.01,0.2,0.0001,0.00026389193953946233,7,0.834
0.01,10,10,0.001,0.0,0.01,0.0003847542393486947,17,1.19
0.01,10,10,0.001,0.0,0.001,0.0003459924191702157,17,1.189
0.01,10,10,0.001,0.0,0.0001,0.00029698797152377665,17,1.178
0.01,10,10,0.001,0.2,0.01,0.0003927751677110791,5,0.738
0.01,10,10,0.001,0.2,0.001,0.0003413767262827605,37,2.32
0.01,10,10,0.001,0.2,0.0001,0.0003726471622940153,35,2.231
0.01,10,10,0.0001,0.0,0.01,0.00041526267887093127,56,2.918
0.01,10,10,0.0001,0.0,0.001,0.0004292927624192089,18,1.23
0.01,10,10,0.0001,0.0,0.0001,0.00041663364390842617,17,1.194
0.01,10,10,0.0001,0.2,0.01,0.00041981576941907406,45,2.712
0.01,10,10,0.0001,0.2,0.001,0.0005010907188989222,77,4.314
0.01,10,10,0.0001,0.2,0.0001,0.0004773509572260082,124,6.615
0.05,1,1,0.01,0.0,0.01,0.0009449951467104256,3,0.218
0.05,1,1,0.01,0.0,0.001,0.0009374593500979245,12,0.358
0.05,1,1,0.01,0.0,0.0001,0.0009279390797019005,9,0.31
0.05,1,1,0.01,0.2,0.01,0.0010173399932682514,5,0.252
0.05,1,1,0.01,0.2,0.001,0.0010416764998808503,5,0.253
0.05,1,1,0.01,0.2,0.0001,0.0010241827694699168,5,0.251
0.05,1,1,0.001,0.0,0.01,0.0010393072152510285,6,0.263
0.05,1,1,0.001,0.0,0.001,0.000973985530436039,9,0.31
0.05,1,1,0.001,0.0,0.0001,0.0009542318293824792,9,0.307
0.05,1,1,0.001,0.2,0.01,0.0009647527476772666,12,0.368
0.05,1,1,0.001,0.2,0.001,0.0009530600509606302,11,0.353
0.05,1,1,0.001,0.2,0.0001,0.0009258384816348553,11,0.354
0.05,1,1,0.0001,0.0,0.01,0.0009320011013187468,34,0.721
0.05,1,1,0.0001,0.0,0.001,0.0009237582562491298,35,0.733
0.05,1,1,0.0001,0.0,0.0001,0.0009238076745532453,35,0.739
0.05,1,1,0.0001,0.2,0.01,0.0009451592341065407,114,2.104
0.05,1,1,0.0001,0.2,0.001,0.0009420820279046893,115,2.107
0.05,1,1,0.0001,0.2,0.0001,0.0009420934948138893,116,2.125
0.05,1,5,0.01,0.0,0.01,0.0009460237924940884,1,0.182
0.05,1,5,0.01,0.0,0.001,0.0009662877419032156,9,0.307
0.05,1,5,0.01,0.0,0.0001,0.0009265525732189417,21,0.509
0.05,1,5,0.01,0.2,0.01,0.0009799943072721362,11,0.357
0.05,1,5,0.01,0.2,0.001,0.00097051658667624,15,0.426
0.05,1,5,0.01,0.2,0.0001,0.0009381419513374567,15,0.432
0.05,1,5,0.001,0.0,0.01,0.00115513417404145,1,0.18
0.05,1,5,0.001,0.0,0.001,0.0010378574952483177,20,0.49
0.05,1,5,0.001,0.0,0.0001,0.0010092145530506968,21,0.502
0.05,1,5,0.001,0.2,0.01,0.0014292855048552155,1,0.186
0.05,1,5,0.001,0.2,0.001,0.0014559718547388911,1,0.189
0.05,1,5,0.001,0.2,0.0001,0.0014594102976843715,1,0.183
0.05,1,5,0.0001,0.0,0.01,0.0009686577250249684,11,0.345
0.05,1,5,0.0001,0.0,0.001,0.000966407940723002,11,0.346
0.05,1,5,0.0001,0.0,0.0001,0.0009667084668762982,11,0.343
0.05,1,5,0.0001,0.2,0.01,0.0013747268822044134,10,0.338
0.05,1,5,0.0001,0.2,0.001,0.0014078824315220118,10,0.342
0.05,1,5,0.0001,0.2,0.0001,0.0014116892125457525,10,0.339
0.05,1,10,0.01,0.0,0.01,0.0009500246378593147,4,0.232
0.05,1,10,0.01,0.0,0.001,0.0009420435526408255,5,0.244
0.05,1,10,0.01,0.0,0.0001,0.0009278493816964328,17,0.434
0.05,1,10,0.01,0.2,0.01,0.0009447042248211801,10,0.343
0.05,1,10,0.01,0.2,0.001,0.0009447744232602417,10,0.346
0.05,1,10,0.01,0.2,0.0001,0.0009448587661609054,10,0.339
0.05,1,10,0.001,0.0,0.01,0.000967064464930445,15,0.402
0.05,1,10,0.001,0.0,0.001,0.0009558931924402714,12,0.36
0.05,1,10,0.001,0.0,0.0001,0.0009270132286474109,23,0.54
0.05,1,10,0.001,0.2,0.01,0.0010590316960588098,14,0.41
0.05,1,10,0.001,0.2,0.001,0.001025244127959013,20,0.513
0.05,1,10,0.001,0.2,0.0001,0.0009555119904689491,20,0.501
0.05,1,10,0.0001,0.0,0.01,0.0011272226693108678,17,0.447
0.05,1,10,0.0001,0.0,0.001,0.0011511326301842928,11,0.342
0.05,1,10,0.0001,0.0,0.0001,0.0011512995697557926,11,0.342
0.05,1,10,0.0001,0.2,0.01,0.0011200483422726393,91,1.716
0.05,1,10,0.0001,0.2,0.001,0.0011267669033259153,108,2.022
0.05,1,10,0.0001,0.2,0.0001,0.001115422579459846,110,2.035
0.05,5,1,0.01,0.0,0.01,0.0009449757053516805,33,1.201
0.05,5,1,0.01,0.0,0.001,0.0009988760575652122,17,0.749
0.05,5,1,0.01,0.0,0.0001,0.0009455918334424496,29,1.089
0.05,5,1,0.01,0.2,0.01,0.0009562657796777785,21,0.933
0.05,5,1,0.01,0.2,0.001,0.0009460412547923625,21,0.942
0.05,5,1,0.01,0.2,0.0001,0.0009515501442365348,14,0.725
0.05,5,1,0.001,0.0,0.01,0.000994330272078514,3,0.362
0.05,5,1,0.001,0.0,0.001,0.0009949064115062356,3,0.354
