,0.01,0.05,0.1
2001-01-02,-0.032757312374073526,-0.02327522931380164,-0.018220365920690384
2001-01-03,-0.03249332202328225,-0.023076890174618267,-0.018057025199487615
2001-01-04,-0.03314223977775328,-0.023479715115627343,-0.018328658972251336
2001-01-05,-0.033226184344591715,-0.023552651151705475,-0.01839572640131575
2001-01-08,-0.03341693482226348,-0.02374918343013901,-0.018595340936341128
2001-01-09,-0.033462842373759565,-0.02380322179758184,-0.018653713811678907
2001-01-10,-0.033354143260678,-0.023701255647971823,-0.018555336979981747
2001-01-11,-0.033325478119987505,-0.02366456625391532,-0.018514369886147776
2001-01-12,-0.03331774649512619,-0.0236615298307278,-0.018513836457599016
2001-01-16,-0.033358014147972674,-0.023708341310282398,-0.018564136426957752
2001-01-17,-0.033314753912042694,-0.023664713374329523,-0.01852031247148326
2001-01-18,-0.03330886387946364,-0.023658220990065853,-0.01851349897576538
2001-01-19,-0.03327814615924347,-0.02361060416477252,-0.018456873300088897
2001-01-22,-0.03328592559603803,-0.02361757676366877,-0.018463415776687076
2001-01-23,-0.032913092939026445,-0.023320544012339975,-0.018206791674597243
2001-01-24,-0.03292705918970222,-0.02332335096941366,-0.01820364965354412
2001-01-25,-0.03289943433688701,-0.02329593248174598,-0.018176341178372978
2001-01-26,-0.03290314207759838,-0.023299200545405956,-0.01817937485182378
2001-01-29,-0.032570760477488296,-0.02303539428819072,-0.017952125856158126
2001-01-30,-0.03247676768378901,-0.02298708894024308,-0.017928176316484558
2001-01-31,-0.03246767951580659,-0.02298598261353907,-0.01793132507983105
2001-02-01,-0.03250363907088907,-0.02301862889745812,-0.01796220507115289
2001-02-02,-0.032496788347356566,-0.023020996494830134,-0.017969486921288778
2001-02-05,-0.03265854019943109,-0.023155341441298265,-0.01808922134779125
2001-02-06,-0.032648056685277003,-0.023143141179976463,-0.01807610589490677
2001-02-07,-0.0326538588760851,-0.02316255231558296,-0.018102771908628443
2001-02-08,-0.03249981932371705,-0.023040129454859608,-0.01799720378923041
2001-02-09,-0.03254452821981762,-0.02308197827397768,-0.0180375279118922
2001-02-12,-0.03233496242285095,-0.02291916063152333,-0.017899631537627306
2001-02-13,-0.0323436677663429,-0.02292037416699191,-0.017896851217960384
2001-02-14,-0.03241403991375899,-0.022991661187972936,-0.017968625954653594
2001-02-15,-0.032338320243628364,-0.022926693653937385,-0.01790939034458446
2001-02-16,-0.032327248806794745,-0.02290960819477177,-0.017889098832367195
2001-02-20,-0.03213669319963666,-0.022763722150314216,-0.017767025966495605
2001-02-21,-0.032320382430304044,-0.022917638568948753,-0.017905070609203037
2001-02-22,-0.03252275867723162,-0.02309158955450961,-0.018063868193110604
2001-02-23,-0.03249508570306196,-0.02306707695003094,-0.01804104037001996
2001-02-26,-0.03239917229708113,-0.022988509457102978,-0.01797171991915582
2001-02-27,-0.03243661010478241,-0.023006954376454367,-0.017980039800006807
2001-02-28,-0.03246777686097071,-0.023054335127209086,-0.018036064171268636
2001-03-01,-0.03259781511938569,-0.023172123651842465,-0.018147322408150427
2001-03-02,-0.032602990291318086,-0.023178116755102444,-0.018153751547574575
2001-03-05,-0.032540172526513915,-0.023149420573282252,-0.018143245455383882
2001-03-06,-0.03246652843343378,-0.02308867255106051,-0.018089372280817733
2001-03-07,-0.032157008384808616,-0.022828807365918222,-0.017855977919661495
