,0.01,0.05,0.1
2001-01-02,-0.03695422625931946,-0.02260047337046833,-0.01676295995960045
2001-01-03,-0.036446557870166915,-0.02249023702840559,-0.01673429970516591
2001-01-04,-0.03785695418010549,-0.022904008876692236,-0.016916627937565657
2001-01-05,-0.03784995474926721,-0.02300355763405049,-0.017026535016155704
2001-01-08,-0.03798191609207601,-0.023145084056703145,-0.017172674962043905
2001-01-09,-0.038156447840148856,-0.02321526633337635,-0.01723189171297036
2001-01-10,-0.03803878770221558,-0.023081570948484398,-0.017098920216757012
2001-01-11,-0.037874902668288385,-0.023032646204067274,-0.017062675839266902
2001-01-12,-0.03789392132951177,-0.023023549431877524,-0.017051857164648118
2001-01-16,-0.0380533926936754,-0.023086907807260495,-0.017104622952161266
2001-01-17,-0.03796274987718711,-0.02302250350714454,-0.017043727290815547
2001-01-18,-0.0379391571048246,-0.023012630966381765,-0.017035551591194655
2001-01-19,-0.03775719991860578,-0.022960924841227463,-0.01699420239738767
2001-01-22,-0.03775737695880929,-0.022971364795488107,-0.017005773026991217
2001-01-23,-0.037464080940210254,-0.022677342721464915,-0.016746240159928785
2001-01-24,-0.03738520041565228,-0.022691891067168648,-0.016768783614828385
2001-01-25,-0.0373342760258748,-0.02265043074004841,-0.016728746704202494
2001-01-26,-0.03733390183453143,-0.02265526827097626,-0.016734130695379656
2001-01-29,-0.03709951767800337,-0.02239421878063328,-0.016500943163273447
2001-01-30,-0.03703586725962245,-0.02229054789614986,-0.01641400278024415
2001-01-31,-0.03709817008588859,-0.022280678139242307,-0.016397865967791733
2001-02-01,-0.0371094565494829,-0.022329883298364567,-0.01645098036730205
2001-02-02,-0.03720362537881889,-0.02232443341936769,-0.016436009700057805
2001-02-05,-0.037212571490571125,-0.022490271987356588,-0.01661087665814958
2001-02-06,-0.03716130733059541,-0.022472246441756452,-0.016596770861548753
2001-02-07,-0.037330959874067225,-0.022489826480988448,-0.016599469193829926
2001-02-08,-0.0372753986741742,-0.022362964799051456,-0.016478101687082018
