,0.01,0.05,0.1
2001-02-01,-0.032768210297339874,-0.0285583741989064,-0.019352641984157076
2001-02-02,-0.02939874023406659,-0.02630485365291443,-0.016908739046381835
2001-02-05,-0.027195443348035194,-0.024380904614805188,-0.015436417432261821
2001-02-06,-0.02096882739501847,-0.019114620419978506,-0.012504894277708047
2001-02-07,-0.02034824498672913,-0.018452079641712183,-0.012787764361779037
2001-02-08,-0.02263358985637737,-0.019518583759633,-0.014205764978470724
2001-02-09,-0.0209907286473026,-0.017085352448216552,-0.013503651481078405
2001-02-12,-0.021012233295716422,-0.017270271018929417,-0.013734045442327205
2001-02-13,-0.02039059951697547,-0.01688685610376108,-0.01342055454224954
2001-02-14,-0.019792435240556128,-0.015968660812507765,-0.01278642530676894
2001-02-15,-0.020805051503391972,-0.017391054357255346,-0.013896450460852219
2001-02-16,-0.017408987034918215,-0.013595719640903576,-0.011054161092436197
2001-02-20,-0.017459584583060225,-0.01396303651970376,-0.011447035109502164
2001-02-21,-0.019882625770716554,-0.017170963555456716,-0.013257861522698346
2001-02-22,-0.024244494067913607,-0.022416156654540463,-0.01758194841267848
2001-02-23,-0.03440749394646081,-0.031126497120935133,-0.027366382590758125
2001-02-26,-0.024508229541242463,-0.023711832755379435,-0.02139653699584341
2001-02-27,-0.015770125352620446,-0.016584910795967963,-0.012968788025665747
2001-02-28,-0.01463584704982393,-0.015597272232115933,-0.011579651909991988
2001-03-01,-0.014645110507684326,-0.01583227270787503,-0.01451586261743424
2001-03-02,-0.029979803512544954,-0.027175677886106375,-0.02258788234745767
2001-03-05,-0.013288241208197498,-0.01381641511662256,-0.012524476455474944
2001-03-06,-0.019366981509212237,-0.015917848418917916,-0.012240977296263923
2001-03-07,-0.014722543339400826,-0.012743408135023278,-0.010794398415872958
2001-03-09,-0.023631167371726408,-0.019534750567929283,-0.015349603259122782
2001-03-12,-0.017307066840237736,-0.015791041551008928,-0.012313758624770584
2001-03-13,-0.04449332342863403,-0.034315520368183194,-0.02697422687840255
2001-03-14,-0.0396322084755366,-0.026416107577554075,-0.021271085298407058
2001-03-15,-0.15038257519088497,-0.012069281072930605,-0.01646685731752486
