,0.01,0.05,0.1
2002-02-08,-0.0369044680893254,-0.02129352778439441,-0.018713148360857135
2002-02-11,-0.040038298789449395,-0.01877257676967409,-0.017113086657681364
2002-02-12,-0.0369131146307886,-0.018829784714283156,-0.01712418210448372
2002-02-13,-0.0331584651517667,-0.017538936049655854,-0.015208221744383821
2002-02-14,-0.028863460639917772,-0.017765559189697876,-0.014805921878906284
2002-02-15,-0.02577027417125356,-0.0190121019436876,-0.015314272218360668
2002-02-19,-0.02568947637903002,-0.018096528905720343,-0.01569710564968757
2002-02-20,-0.028519784178369666,-0.01886434074493022,-0.015371339446144456
2002-02-21,-0.030123736699709948,-0.01888081345371848,-0.015421200196265285
2002-02-22,-0.031595343810469564,-0.02057897520045601,-0.017329650950010635
2002-02-25,-0.03542550553557068,-0.02104533450851069,-0.01771119939592207
2002-02-26,-0.03432904473257525,-0.01929552722484744,-0.016709723823104494
2002-02-27,-0.0352635025115451,-0.020469758007604748,-0.017531562015241142
2002-02-28,-0.03624352734192847,-0.02106951699869616,-0.018123105051291433
2002-03-01,-0.03605742849827738,-0.020474646258863468,-0.017494439894825204
2002-03-04,-0.03447522393816818,-0.018805821024608704,-0.01569951427613584
2002-03-05,-0.03273780946477898,-0.018432161441842166,-0.015757768971146727
2002-03-06,-0.03309868639560589,-0.0178343061828724,-0.01487037124312329
2002-03-07,-0.02963422681714111,-0.018163813210120335,-0.015038581103884986
2002-03-08,-0.029777208318309552,-0.020648376945050798,-0.016973713042265616
2002-03-11,-0.03168260441888603,-0.01707662359591138,-0.014025116271031136
2002-03-12,-0.027811871180562213,-0.01815318979854994,-0.015408115653598214
2002-03-13,-0.03517626062566945,-0.010827696233318865,-0.007329443527652761
2002-03-14,-0.026887816730270877,-0.018287639438426782,-0.015470720716950801
2002-03-15,-0.02414296803949037,-0.01688981021055901,-0.014182035224131815
2002-03-18,-0.023334119026334782,-0.016620930158723426,-0.013835894147797654
2002-03-19,-0.02324414560975979,-0.01672564804043133,-0.013923861214480089
2002-03-20,-0.02298681310626001,-0.016759639475410898,-0.013992972917533875
2002-03-21,-0.02409246700819128,-0.01436282206232269,-0.012374675543079104
2002-03-22,-0.02248657604595803,-0.01691293038818278,-0.014196540498349165
2002-03-25,-0.022928555018293353,-0.0170448411037117,-0.014357276450568245
2002-03-26,-0.02240696388332927,-0.017539286631663584,-0.01473470020433033
2002-03-27,-0.0242988944538073,-0.016785631939372894,-0.01445081988547353
2002-03-28,-0.023314718724998042,-0.017305478615109133,-0.014711306177941396
2002-04-01,-0.022995501855934984,-0.017098297117448463,-0.014596560162188806
2002-04-02,-0.023860767860479172,-0.015819798269937235,-0.013792572037106977
2002-04-03,-0.022993285703131198,-0.01709105704414787,-0.014741266702481291
2002-04-04,-0.0224359839670424,-0.017021250482353294,-0.014604424489078612
2002-04-05,-0.022529185062112426,-0.017082494108675905,-0.014674774059411831
2002-04-08,-0.022953023550468455,-0.016146052001083377,-0.014003195060230953
2002-04-09,-0.027100121657411137,-0.012976040169227118,-0.011791585266006982
2002-04-10,-0.02213207435696758,-0.016280778929538636,-0.01414527354404271
2002-04-11,-0.016726832045979294,-0.016089797993339112,-0.014073354783460515
2002-04-12,-0.023277756116734803,-0.016355028252284673,-0.014267844723360111
2002-04-15,-0.022833755685443612,-0.017241139676919592,-0.015190333076032491
2002-04-16,-0.023420354769987703,-0.01665784988243463,-0.014637328210517091
2002-04-17,-0.02810190445237051,-0.014552461111669548,-0.012854797692585896
2002-04-18,-0.02400477674529084,-0.016174703652180954,-0.014433381843400296
2002-04-19,-0.028626639075031393,-0.020670054544015114,-0.01805163694754373
2002-04-22,-0.02776297783487815,-0.01791786496097445,-0.01576640893771735
2002-04-23,-0.02625775441184555,-0.017793956049760196,-0.01552685334971914
2002-04-24,-0.02579671161610941,-0.017211846711781643,-0.014964342513106086
2002-04-25,-0.025123908911216745,-0.01806998567678451,-0.01591258239376179
2002-04-26,-0.021397184368940784,-0.01694225824002647,-0.014671132613877699
2002-04-29,-0.023485897791459074,-0.017067071377383555,-0.014828061778363523
